measure_name,location_id,location_name,sex_id,sex_name,age_group_id,age_group_name,year_id,val,upper,lower
Age-Standardized Smoking Prevalence,6,China,1,Male,29,15+ years,1990,0.608152596,0.619318317,0.596352857
Age-Standardized Smoking Prevalence,6,China,2,Female,29,15+ years,1990,0.04488875,0.051309111,0.03934342
Age-Standardized Smoking Prevalence,6,China,3,Both,29,15+ years,1990,0.33396704,0.340773763,0.327536834
Age-Standardized Smoking Prevalence,6,China,1,Male,29,15+ years,1991,0.606038948,0.616324559,0.594769909
Age-Standardized Smoking Prevalence,6,China,2,Female,29,15+ years,1991,0.045696932,0.051702025,0.040452686
Age-Standardized Smoking Prevalence,6,China,3,Both,29,15+ years,1991,0.333513839,0.339938723,0.327440478
Age-Standardized Smoking Prevalence,6,China,1,Male,29,15+ years,1992,0.602314425,0.612108031,0.591932187
Age-Standardized Smoking Prevalence,6,China,2,Female,29,15+ years,1992,0.046264188,0.052199681,0.041359002
Age-Standardized Smoking Prevalence,6,China,3,Both,29,15+ years,1992,0.332066716,0.337871087,0.326315432
Age-Standardized Smoking Prevalence,6,China,1,Male,29,15+ years,1993,0.596882325,0.606352669,0.586585806
Age-Standardized Smoking Prevalence,6,China,2,Female,29,15+ years,1993,0.04654783,0.05235984,0.041923779
Age-Standardized Smoking Prevalence,6,China,3,Both,29,15+ years,1993,0.329516739,0.335011754,0.323960598
Age-Standardized Smoking Prevalence,6,China,1,Male,29,15+ years,1994,0.589594257,0.598951179,0.579985705
Age-Standardized Smoking Prevalence,6,China,2,Female,29,15+ years,1994,0.046448923,0.052122904,0.041930031
Age-Standardized Smoking Prevalence,6,China,3,Both,29,15+ years,1994,0.325750362,0.331133153,0.320356642
Age-Standardized Smoking Prevalence,6,China,1,Male,29,15+ years,1995,0.581115397,0.590077528,0.572401571
Age-Standardized Smoking Prevalence,6,China,2,Female,29,15+ years,1995,0.04613894,0.051374767,0.041682882
Age-Standardized Smoking Prevalence,6,China,3,Both,29,15+ years,1995,0.321165523,0.326397219,0.316079546
