"","title.covidence","xpert.used","bacteriological.tb.definition"
"1","SUDAN TB PREVALENCE SURVEY REPORT 2013 – 2014","Yes (Xpert MTB/RIF only)","TB survey case definition: Survey TB case is defined as “a participant with bacteriological confirmation of MTB using culture that includes those that are smear-positive or smear-negative”."
"2","Findings from the First Malawi TB Prevalence Survey","Yes (Xpert MTB/RIF only)","Definition is based on the following categorization: 
1. Significant Direct Evidence: 
a. S+ (4AFB or more) with “GXP+ and/or C MTB+ (any)” 
b. C MTB+ (5 colonies or more) 
2. Non-significant Direct Evidence: 
a. S+ (1-3 AFB) with GXP+ ( GeneXpert ) and/or C MTB+ 
b. C MTB+ (1-4 colonies) 
3. Supportive Bacteriological Evidences: 
a. S+ (any) without GXP test 
4. Supportive CXR Evidence: 
a. CXR TB disease suggestive or consistent by the panel 
Thus, a bacteriologically confirmed ( positive )case with at least one of following conditions is defined as bacteriologically confirmed( positive )TB patient in this study: 
• At least one sample showed one Significant Direct Evidence 
• Both samples showed Non-significant Direct Evidences 
• At least one sample showed Non-significant Direct Evidence and the other sample has one Supportive Bacteriological Evidence 
• At least one sample showed a weak Direct Evidence and the panel has one Supportive CXR Evidence"
"3","Prevalence of pulmonary tuberculosis among the adult population in Pakistan 2010-2011","Yes (Xpert MTB/RIF only)","(bacteriologically confirmed survey TB case) was defined as having at least:
•	 
OR
Culture positive with five or more Mycobacterium tuberculosis (MTB) colonies; 
•	 
OR
Culture positive with less than five MTB colonies either in combination with one or more positive smears or an 
abnormal chest X-ray result consistent with TB; 
•	 
Any smear positive plus a positive nuclear acid amplification test result produced by the Genotype®MTBDRplus
assay or the GeneXpert MTB/RIF test and no isolation of non-tuberculous mycobacteria (NTM)."
"4","Prevalence of pulmonary tuberculosis in adult population of Tanzania: a national survey, 2012","Yes (Xpert MTB/RIF only)","A bacteriologically confirmed case was any person classified as being smear-positive and/or culture-positive for TB."
"5","The prevalence of HIV among adults with pulmonary TB at a population level in Zambia","Yes (Xpert MTB/RIF only)","A patient with smear-positive and/or culture-positive pulmonary TB"
"6","Community-based active tuberculosis case finding in poor urban settlements of Phnom Penh, Cambodia: a feasible and effective strategy","Yes (both Xpert MTB/RIF and Xpert Ultra, or either of these)","All patients with a positive smear, or M. tuberculosis detected by Xpert or isolated by culture were considered bacteriologically-proven TB."
"7","The Uganda National Tuberculosis Prevalence Survey, 2014-2015","Yes (Xpert MTB/RIF only)","Either culture positive or Xpert MTB/RIF positive"
"8","Namibia Tuberculosis disease prevalence survey, 2017-2018","Yes (Xpert MTB/RIF only)","Any demonstration of acid-fast bacilli on smear microscopy, or demonstration of mycobacterium tuberculosis using either Xpert MTB/RIF or other identification from a positive mycobacterial culture isolate."
"9","NATIONAL TUBERCULOSIS PREVALENCE SURVEY 2016, PHILIPPINES","Yes (Xpert MTB/RIF only)","Bacteriologically confirmed TB (BCTB) cases were defined as screen-positive participants with
sputum samples positive for MTB on culture and/or Xpert MTB/RIF positive."
"10","NATIONAL TUBERCULOSIS PREVALENCE SURVEY REPORT, Nepal, 2018-19","Yes (Xpert MTB/RIF only)",NA
