Study.title,Study.ID,Consensus Asignee 
"A Tuberculosis Nationwide Prevalence Survey In Gambia, 2012",20811,NSW
Prevalence And Incidence Of Symptomatic Pulmonary Tuberculosis Based On Repeated Population Screening In a District In Ethiopia: a Prospective Cohort Study,21313,PM
Persistent High Prevalence Of Pulmonary Tuberculosis In a Resource-Limited Setting: Threat To India‚Äôs Tb Free Campaign,21428,NSW
"High Incidence Of Pulmonary Tuberculosis Inan Indigenous Saharia Tribe In Madhyapradesh, Central India‚ÄîA Prospective Cohortstudy",21429,PM
"National Population-Based Tuberculosis Prevalence Survey In Ghana, 2013",21508,PM
Sub-National Prevalence Survey Of Tuberculosis In Rural Communities Of Ethiopia,21934,PM
"Prevalence Of Bacteriologically Confirmed Pulmonary Tuberculosis And Associated Risk Factors: A Community Survey In Thirvallur District, South India",22089,PM
"Prevalence Of Bacteriologically-Confirmed Pulmonary Tuberculosis In Urban Blantyre, Malawi 2019‚Äì20: Substantial Decline Compared To 2013‚Äì14 National Survey",22290,NSW
"Prevalence And Incidence Of Smear-Positive Pulmonary Tuberculosis In The Hetosa District Of Arsi Zone, Oromia Regional State Of Central Ethiopia",22718,PM
Population-Based Screening For Pulmonary Tuberculosis Utilizing Community Health Workers In Ethiopia,24181,PM
"Prevalence Of Pulmonary Tuberculosis In Western China In 2010‚Äì11: a Population-Based, Cross-Sectional Survey",24214,PM
The Second National Tuberculosis Prevalence Survey In Vietnam,24644,PM
"Burden Of Pulmonary Tuberculosis Among Tribal Population: A Cross‚ÄëSectional Study In Tribal Areas Of Maharashtra, India",25143,PM
"Declining Tuberculosis Prevalence In Saharia, a Particularly Vulnerable Tribal Community In Central India: Evidences For Action",25244,NM
Prevalence Of Pulmonary Tuberculosis Among The Tribal Populations In India,26096,NSW
Estimation Of The Burden Of Bacteriologically Positive Tuberculosis Among Adults In Kashmir: A Baseline For Future Surveys In The Valley,26237,PM
"Convergence of infectious and non-communicable disease epidemics in rural South Africa: a cross-sectional, population-based multimorbidity study",26522,PM
Prevalence And Risk Factors Of Active Pulmonary Tuberculosis Among Elderly People In China: a Population Based Cross-Sectional Study,26740,PM
"Prevalence Of Bacteriologically Confirmed Pulmonary Tuberculosis In South Africa, 2017‚Äì19: a Multistage, Cluster-Based, Cross-Sectional Survey",26856,MHC
The Zimbabwe National Population Based Tuberculosis Prevalence Survey Report,26857,PM
Results from the national TB prevalence survey of Indonesia,26858,PM
National Tuberculosis Prevalence Survey Bangladesh 2015-2016,26859,PM
Kenya Tuberculosis Prevalence Survey,26860,PM
Report of DPRK National TB Prevalence Survey (2015–2016),26861,PM
"Policy And Programmatic Directions For The Lesotho Tuberculosis Programme: Findings Of The National Tuberculosis Prevalence Survey, 2019",26862,PM
National Tb Prevalence Survey In India,26863,PM
Fourth National Tuberculosis Prevalence Survey Report (2017-2018) Myanmar,26864,KH
Eswatini National Tuberculosis Prevalence Survey Report,26865,PM
Report Of The First National Tuberculosis Prevalence Survey In Mongolia (2014-2015),26866,PM
"National Tuberculosis Prevalence Survey Report, Nepal, 2018-19",26867,PM
High Tb Burden And Low Notification Rates In The Philippines: The 2016 National Tb Prevalence Survey,26868,PM
Namibia Tuberculosis Disease Prevalence Survey 2019,26869,PM
"The Uganda National Tuberculosis Prevalence Survey, 2014-2015, Survey Report",26870,PM
Prevalence Of Pulmonary Tuberculosis Among Adults In a North Indian District,26872,PM
"Hyperendemic pulmonary tuberculosis in peri-urban areas of Karachi, Pakistan",26873,PM
Prevalence of pulmonary tuberculosis on the roof of the world,26874,PM 
"Prevalence Of Tuberculosis, Hiv And Respiratory Symptoms In Two Zambian Communities: Implications For Tuberculosis Control In The Era Of Hiv",26875,KH
"Epidemiology Of Tuberculosis In An Urban Slum Of Dhaka City, Bangladesh",26878,PM
"Survey For Tuberculosis In An Indigenous Populationof Amazonia: The Suru¬¥ƒ± Of RondÀÜOnia, Brazil",26879,PM
Tuberculosis Among The Xavante Indians Of The Brazilian Amazon: An Epidemiological And Ethnographic Assessment,26880,HC
Population-Based Prevalence Survey Of Tuberculosis In The Tigray Region Of Ethiopia,26881,PM
"Prevalence Of Pulmonary Tuberculosisamongst The Tribal Population Of Madhyapradesh, Central India",26882,HC
Tuberculosis Burden In An Urban Population: a Cross Sectional Tuberculosis Survey From Guinea Bissau,26883,HC
Prevalence Of Pulmonary Tuberculosis Among Adults In a Rural Sub-District Of South India,26884,PM
"Prevalent Infectious Tuberculosis In Harare, Zimbabwe: Burden, Risk Factors And Implications For Control",26886,NSW
"Comparison Of Two Active Case-Finding Strategies For Community-Based Diagnosis Of Symptomatic Smear-Positive Tuberculosis And Control Of Infectious Tuberculosis In Harare, Zimbabwe (Detectb): a Cluster-Randomised Trial",26887,NSW
A Rapid Survey To Determine The Prevalence Of Smear-Positive Tuberculosis In Addis Ababa,26888,PM
Prevalence Of Pulmonary Tb And Spoligotype Pattern Of Mycobacterium Tuberculosis Among Tb Suspects In a Rural Community In Southwest Ethiopia,26890,PM
Prevalence And Risk Factors For Adult Pulmonary Tuberculosis In a Metropolitan City Of South India,26891,PM
Prevalence Of Tuberculosis In Rwanda: Results Of The First Nationwide Survey In 2012 Yielded Important Lessons For Tb Control,26892,PM
A Baseline Survey Of The Prevalence Of Tuberculosis In a Community In South India At The Commencement Of a Dots Programme,26893,PM
Prevalence Of Tuberculosis In A Rural Population Aged 15 Years And Above In R.S. Pura Block Of District Jammu,26894,PM
"Burden Of Tuberculosis In Kampala, Uganda",26895,PM
Gender Differences In Tuberculosis: a Prevalence Survey Done In Bangladesh,26896,PM
"A Survey Of Tuberculosis Prevalence In Hanoi, Vietnam",26899,PM
Prevalence Of Pulmonary Tuberculosis In Far Western Nepal,26901,PM
Trends In The Prevalence Of Pulmonary Tuberculosis Over a Period Of Seven And Half Years In a Rural Community In South India With Dots,26904,PM
The First National Tb Prevalence Survey Of Lao Pdr (2010-2011),26905,NM
"Community-Based Prevalence Of Undiagnosed Mycobacterial Diseases In The Afar Region, North-East Ethiopia",26906,HC
"Community-Based Active Tuberculosis Case Finding In Poor Urban Settlements Of Phnom Penh, Cambodia: a Feasible And Effective Strategy",26909,HC
Cross-Sectional Studies Of Tuberculosis Prevalence In Cambodia Between 2002 And 2011,26910,NSW
Antiretroviral Program Associated With Reduction In Untreated Prevalent Tuberculosis In a South African Township,26911,NSW
"National Tb Prevalence Survey, 2022. Cambodia",26912,PM
"The First Population-Based National Tuberculosis Prevalence Survey In Ethiopia, 2010-2011",26913,PM
"Report On National Tb Prevalence Survey 2009-2010, Myanmar",26915,PM
Sputum Positive Point Prevallence Survey,26916,PM
"Report First National Tb Prevalence Survey 2012, Nigeria",26917,PM
Zambia National Tuberculosis Prevalence Survey 2013-2014 Technical Report,26918,PM
"Prevalence Of Pulmonary Tuberculosis In Adult Population Of Tanzania: a National Survey, 2012",26919,HC
The Gambian Survey Of Tuberculosis Prevalence (Gamstep),26920,PM
"Prevalence Of Tuberculosis In Adolescents, Western Kenya: Implications For Control Programs",26924,NSW
Prevalence Of Pulmonary Tuberculosis Among The Adult Population Of Pakistan 2010-2011,26928,NSW
Prevalence Of Pulmonary Tuberculosis - A Baseline Survey In Central India,26929,MHC
"Prevalence Of Pulmonary Tuberculosis Among The Bharia, a Primitive Tribe Of Madhya Pradesh, Central India",26930,PM
"Pulmonary Tuberculosis: a Public Health Problem Amongst The Saharia, a Primitive Tribe Of Madhya Pradesh, Central India",26931,PM
Active Detection Of Tuberculosis And Paragonimiasis In The Remote Areas In North-Eastern India Using Cough As a Simple Indicator,26932,MHC
Pulmonary Tuberculosis In An Indigenous Community In The Mountains Of Ecuador,26933,PM
Determining The Burden Of Tuberculosis In Eritrea: a New Approach,26935,PM
