Country,Value,,
Switzerland,0.967,,
Norway,0.983,,
Iceland,0.976,,
"Hong Kong, China (SAR)",0.976,,
Australia,0.968,,
Denmark,0.980,,
Sweden,0.988,,
Ireland,0.987,,
Germany,0.978,,
Netherlands,0.968,,
Finland,0.989,,
Singapore,0.992,,
Belgium,0.978,,
New Zealand,0.975,,
Canada,0.988,,
Luxembourg,0.993,,
United Kingdom,0.987,,
Japan,0.970,,
Korea (Republic of),0.944,,
United States,1.001,,
Israel,0.992,,
Malta,0.980,,
Slovenia,0.999,,
Austria,0.980,,
United Arab Emirates,0.953,,
Spain,0.986,,
France,0.990,,
Cyprus,0.972,,
Italy,0.970,,
Estonia,1.021,,
Czechia,0.989,,
Greece,0.969,,
Poland,1.008,,
Bahrain,0.927,,
Lithuania,1.030,,
Saudi Arabia,0.917,,
Portugal,0.994,,
Latvia,1.025,,
Croatia,0.995,,
Chile,0.967,,
Qatar,1.019,,
Slovakia,0.999,,
Hungary,0.987,,
Argentina,0.997,,
Türkiye,0.937,,
Montenegro,0.981,,
Kuwait,1.009,,
Brunei Darussalam,0.984,,
Russian Federation,1.016,,
Romania,0.994,,
Oman,0.900,,
Kazakhstan,0.998,,
Trinidad and Tobago,0.985,,
Costa Rica,0.996,,
Uruguay,1.022,,
Belarus,1.011,,
Panama,1.017,,
Malaysia,0.982,,
Georgia,1.007,,
Mauritius,0.973,,
Serbia,0.982,,
Thailand,1.012,,
Albania,1.007,,
Bulgaria,0.995,,
Barbados,1.034,,
Sri Lanka,0.949,,
Bosnia and Herzegovina,0.940,,
Saint Kitts and Nevis,..,,
Iran (Islamic Republic of),0.880,,
Ukraine,1.012,,
North Macedonia,0.945,,
China,0.984,,
Dominican Republic,1.014,,
Moldova (Republic of),1.010,,
Cuba,0.961,,
Peru,0.950,,
Armenia,1.001,,
Mexico,0.989,,
Brazil,0.994,,
Colombia,0.984,,
Saint Vincent and the Grenadines,0.970,,
Maldives,0.925,,
Algeria,0.880,,
Azerbaijan,0.974,,
Tonga,0.965,,
Turkmenistan,0.956,,
Ecuador,0.980,,
Mongolia,1.031,,
Egypt,0.882,,
Tunisia,0.931,,
Fiji,0.931,,
Suriname,1.001,,
Uzbekistan,0.944,,
Jordan,0.887,,
Libya,0.975,,
Paraguay,0.990,,
"Palestine, State of",0.891,,
Saint Lucia,1.011,,
Guyana,0.978,,
South Africa,0.944,,
Jamaica,0.990,,
Samoa,0.957,,
Gabon,0.908,,
Lebanon,0.882,,
Indonesia,0.941,,
Viet Nam,1.002,,
Philippines,0.990,,
Botswana,0.981,,
Bolivia (Plurinational State of),0.964,,
Kyrgyzstan,0.966,,
Venezuela (Bolivarian Republic of),0.983,,
Iraq,0.803,,
Tajikistan,0.909,,
Belize,0.975,,
Morocco,0.861,,
El Salvador,0.964,,
Nicaragua,0.956,,
Bhutan,0.937,,
Cabo Verde,0.981,,
Bangladesh,0.898,,
India,0.849,,
Ghana,0.946,,
Guatemala,0.917,,
Honduras,0.960,,
Sao Tome and Principe,0.907,,
Namibia,1.004,,
Lao People's Democratic Republic,0.949,,
Timor-Leste,0.917,,
Nepal,0.942,,
Eswatini (Kingdom of),0.986,,
Cambodia,0.926,,
Zimbabwe,0.961,,
Angola,0.903,,
Myanmar,0.944,,
Syrian Arab Republic,0.825,,
Cameroon,0.885,,
Kenya,0.941,,
Congo,0.934,,
Zambia,0.965,,
Comoros,0.891,,
Papua New Guinea,0.931,,
Mauritania,0.890,,
Côte d'Ivoire,0.887,,
Tanzania (United Republic of),0.943,,
Pakistan,0.810,,
Togo,0.849,,
Haiti,0.898,,
Nigeria,0.863,,
Rwanda,0.954,,
Benin,0.880,,
Uganda,0.927,,
Lesotho,0.985,,
Malawi,0.968,,
Senegal,0.874,,
Sudan,0.870,,
Madagascar,0.956,,
Gambia,0.924,,
Ethiopia,0.921,,
Guinea-Bissau,0.867,,
Liberia,0.871,,
Congo (Democratic Republic of the),0.885,,
Afghanistan,0.681,,
Sierra Leone,0.893,,
Guinea,0.850,,
Yemen,0.496,,
Burkina Faso,0.903,,
Mozambique,0.922,,
Mali,0.887,,
Burundi,0.935,,
Central African Republic,0.810,,
Niger,0.835,,
Chad,0.770,,
South Sudan,0.843,,
,,,
,,,
,,,
,,,
