study.end.year,study.country,hivpop.all
2005,Cambodia,79000
2006,Cambodia,79000
2007,Cambodia,80000
2008,Cambodia,80000
2009,Cambodia,80000
2010,Cambodia,81000
2011,Cambodia,81000
2012,Cambodia,81000
2013,Cambodia,81000
2014,Cambodia,80000
2015,Cambodia,80000
2016,Cambodia,79000
2017,Cambodia,79000
2018,Cambodia,78000
2019,Cambodia,78000
2020,Cambodia,77000
2021,Cambodia,77000
2022,Cambodia,77000
2023,Cambodia,77000
2024,Cambodia,76000
2005,Kenya,1500000
2006,Kenya,1500000
2007,Kenya,1500000
2008,Kenya,1400000
2009,Kenya,1400000
2010,Kenya,1400000
2011,Kenya,1400000
2012,Kenya,1400000
2013,Kenya,1400000
2014,Kenya,1400000
2015,Kenya,1400000
2016,Kenya,1400000
2017,Kenya,1400000
2018,Kenya,1400000
2019,Kenya,1400000
2020,Kenya,1300000
2021,Kenya,1300000
2022,Kenya,1300000
2023,Kenya,1300000
2024,Kenya,1300000
2005,Lesotho,260000
2006,Lesotho,260000
2007,Lesotho,270000
2008,Lesotho,280000
2009,Lesotho,280000
2010,Lesotho,290000
2011,Lesotho,290000
2012,Lesotho,300000
2013,Lesotho,300000
2014,Lesotho,300000
2015,Lesotho,300000
2016,Lesotho,300000
2017,Lesotho,290000
2018,Lesotho,290000
2019,Lesotho,290000
2020,Lesotho,280000
2021,Lesotho,280000
2022,Lesotho,270000
2023,Lesotho,270000
2024,Lesotho,260000
2005,Malawi,910000
2006,Malawi,900000
2007,Malawi,900000
2008,Malawi,900000
2009,Malawi,910000
2010,Malawi,930000
2011,Malawi,940000
2012,Malawi,960000
2013,Malawi,980000
2014,Malawi,990000
2015,Malawi,1000000
2016,Malawi,1000000
2017,Malawi,1000000
2018,Malawi,1000000
2019,Malawi,1000000
2020,Malawi,1000000
2021,Malawi,1000000
2022,Malawi,1000000
2023,Malawi,1000000
2024,Malawi,990000
2005,Rwanda,240000
2006,Rwanda,240000
2007,Rwanda,240000
2008,Rwanda,240000
2009,Rwanda,240000
2010,Rwanda,240000
2011,Rwanda,240000
2012,Rwanda,250000
2013,Rwanda,250000
2014,Rwanda,250000
2015,Rwanda,250000
2016,Rwanda,250000
2017,Rwanda,250000
2018,Rwanda,250000
2019,Rwanda,250000
2020,Rwanda,240000
2021,Rwanda,240000
2022,Rwanda,240000
2023,Rwanda,240000
2024,Rwanda,240000
2005,South Africa,4800000
2006,South Africa,4900000
2007,South Africa,5100000
2008,South Africa,5300000
2009,South Africa,5500000
2010,South Africa,5700000
2011,South Africa,5900000
2012,South Africa,6100000
2013,South Africa,6300000
2014,South Africa,6500000
2015,South Africa,6700000
2016,South Africa,6900000
2017,South Africa,7000000
2018,South Africa,7200000
2019,South Africa,7300000
2020,South Africa,7400000
2021,South Africa,7500000
2022,South Africa,7600000
2023,South Africa,7700000
2024,South Africa,7800000
2005,Uganda,1100000
2006,Uganda,1100000
2007,Uganda,1100000
2008,Uganda,1100000
2009,Uganda,1200000
2010,Uganda,1200000
2011,Uganda,1200000
2012,Uganda,1200000
2013,Uganda,1300000
2014,Uganda,1300000
2015,Uganda,1300000
2016,Uganda,1400000
2017,Uganda,1400000
2018,Uganda,1500000
2019,Uganda,1500000
2020,Uganda,1500000
2021,Uganda,1500000
2022,Uganda,1500000
2023,Uganda,1500000
2024,Uganda,1500000
2005,Tanzania,1200000
2006,Tanzania,1200000
2007,Tanzania,1200000
2008,Tanzania,1200000
2009,Tanzania,1200000
2010,Tanzania,1200000
2011,Tanzania,1300000
2012,Tanzania,1300000
2013,Tanzania,1300000
2014,Tanzania,1400000
2015,Tanzania,1400000
2016,Tanzania,1500000
2017,Tanzania,1600000
2018,Tanzania,1600000
2019,Tanzania,1700000
2020,Tanzania,1700000
2021,Tanzania,1700000
2022,Tanzania,1700000
2023,Tanzania,1800000
2024,Tanzania,1800000
2005,Zambia,810000
2006,Zambia,830000
2007,Zambia,850000
2008,Zambia,880000
2009,Zambia,910000
2010,Zambia,940000
2011,Zambia,980000
2012,Zambia,1000000
2013,Zambia,1100000
2014,Zambia,1100000
2015,Zambia,1200000
2016,Zambia,1200000
2017,Zambia,1300000
2018,Zambia,1300000
2019,Zambia,1300000
2020,Zambia,1400000
2021,Zambia,1400000
2022,Zambia,1400000
2023,Zambia,1400000
2024,Zambia,1400000
2005,Zimbabwe,1500000
2006,Zimbabwe,1500000
2007,Zimbabwe,1400000
2008,Zimbabwe,1400000
2009,Zimbabwe,1400000
2010,Zimbabwe,1400000
2011,Zimbabwe,1400000
2012,Zimbabwe,1400000
2013,Zimbabwe,1400000
2014,Zimbabwe,1400000
2015,Zimbabwe,1400000
2016,Zimbabwe,1400000
2017,Zimbabwe,1400000
2018,Zimbabwe,1400000
2019,Zimbabwe,1400000
2020,Zimbabwe,1300000
2021,Zimbabwe,1300000
2022,Zimbabwe,1300000
2023,Zimbabwe,1300000
2024,Zimbabwe,1300000
