Country Name,Series Name,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bangladesh,female,58836294,59975549,61123899,62313586,63548936,64815861,66067192,67278611,68468235,69625317,70743192,71813210,72831947,73805299,74736651,75629878,76487607,77354265,78243628,79124505,79993271,80855124,81720325,82462276,83091995,83750865,84419144,85086513
Bangladesh,male,61506885,62624821,63738280,64884483,66073396,67292204,68477112,69527199,70465423,71345034,72159664,72902576,73574026,74183979,74737613,75243836,75714374,76236811,76826473,77407636,77971658,78528055,79091607,79723871,80431108,81162190,81878880,82572341
Cambodia,female,4778648,5194372,5611548,6022151,6277180,6376733,6469499,6561919,6654774,6747258,6838464,6929540,7022477,7116384,7215495,7323650,7434752,7544936,7655647,7767876,7880958,7994071,8108585,8218871,8320127,8423919,8544837,8667395
Cambodia,male,4460514,4824125,5189722,5548831,5780993,5888998,5992837,6096565,6200467,6303710,6406267,6509662,6616551,6725386,6837984,6953160,7065974,7177648,7289438,7402332,7515814,7629180,7744218,7854501,7954395,8057385,8180637,8306910
China,female,583894568,590125717,596205685,602203186,607874860,613019865,617713943,622066985,626113148,629897770,633528006,637153944,640622204,643867508,647064821,650200886,653271088,656802304,661251570,665670016,669912632,673894521,677886142,682205710,685660839,688332681,690313465,691353011
China,male,607940432,614729283,621344315,627871814,634060140,639715135,644931057,649783015,654286852,658502230,662546994,666566056,670397796,674017492,677590179,681059114,684433912,688232696,692938430,697569984,701947368,705965479,709903858,714009290,717099161,719412319,720786535,721006989
Eritrea,female,975941,1031367,1082735,1094422,1110124,1130643,1150524,1182950,1223152,1273381,1325341,1356593,1377510,1397129,1433453,1469014,1497458,1523921,1542992,1561512,1571768,1576805,1586239,1598920,1619967,1643512,1668948,1698263
Eritrea,male,937974,993900,1045729,1057713,1070295,1082137,1096507,1129129,1169826,1220522,1272943,1304622,1325992,1346093,1382874,1418871,1447728,1474564,1493996,1512848,1523405,1528741,1538459,1551427,1572793,1596682,1622323,1651920
Eswatini,female,498946,498387,507904,516817,524565,531371,537931,544001,549471,554401,558851,562903,566750,570258,573046,575173,576992,578693,580405,582307,584376,586533,588789,592245,596905,601680,607657,614424
Eswatini,male,472266,472046,481937,489818,495088,499411,503483,507063,509970,512299,514308,516119,517686,520447,525045,529980,534658,539140,543458,547683,551923,556280,560718,565950,572024,578194,585072,592169
Ethiopia,female,28015369,28953795,29895525,30838755,31792693,32776623,33771001,34778443,35822516,36892626,37988239,39108666,40253816,41435130,42641414,43862438,45118351,46414501,47729812,49043115,50377651,51752044,53178203,54654315,56155672,57695135,59291103,60910800
Ethiopia,male,27596139,28583540,29572110,30565784,31570831,32597938,33640493,34709319,35813001,36940037,38088967,39258804,40449674,41668087,42902254,44145198,45420163,46735469,48068955,49395636,50737959,52115091,53539959,55012166,56508480,58042248,59626568,61227788
"Gambia, The",female,619415,638202,657017,676029,695359,715029,734925,755095,775595,796675,818605,841509,865638,890851,916799,943456,970908,999299,1028748,1058894,1089023,1118808,1148242,1177300,1205898,1234385,1263752,1293829
"Gambia, The",male,607811,626111,644393,662860,681628,700750,720159,739916,760096,780936,802707,825528,849637,874923,901053,927966,955722,984485,1014346,1044926,1075505,1105721,1135527,1164889,1193734,1222459,1251981,1282181
Ghana,female,8530629,8738146,8947239,9162969,9387262,9618135,9860638,10123040,10401243,10682004,10965049,11252882,11545647,11843569,12144756,12448621,12752437,13060547,13378562,13703178,14029963,14356569,14686334,15011792,15326382,15637515,15953563,16271078
