iso3,spectrum_country,year,totpop,hivpop,artpop_dec31,art_coverage
KHM,Cambodia,2000,7041976.959160002,71088.55225999998,17,2.3913836278201348e-4
KHM,Cambodia,2001,7277104.957870001,73013.58582999995,71.00000000000004,9.724217649755183e-4
KHM,Cambodia,2002,7516507.363549998,73754.29097999998,391.99999999999983,0.005314945
KHM,Cambodia,2003,7759449.700390005,73753.86383999999,2130.0000000000005,0.028879842886886248
KHM,Cambodia,2004,7994392.216,73425.75278000005,5521.999999999999,0.075205221
KHM,Cambodia,2005,8231050.982,73042.16713000006,9192.000000000002,0.12584511606343948
KHM,Cambodia,2006,8483231.171459997,73090.45490000001,16601.000000000004,0.22712952084800886
KHM,Cambodia,2007,8729037.203869998,73478.58477000002,21980.999999999993,0.2991483854622965
KHM,Cambodia,2008,8979093.164919998,73822.19929000002,27327.999999999978,0.3701867495527438
KHM,Cambodia,2009,9218707.125449995,74265.22223000004,32647.000000000015,0.43960011186517384
KHM,Cambodia,2010,9444526.700000003,74752.45619000003,37387.00000000001,0.500144101
KHM,Cambodia,2011,9656913.475529995,75205.59799,40700.000000000015,0.5411831178499751
KHM,Cambodia,2012,9840505.779989997,75507.16767000001,43113.99999999997,0.57099215
KHM,Cambodia,2013,10015153.711079998,75577.07452000004,45185.99999999998,0.5978797179830289
KHM,Cambodia,2014,10181435.99,75429.71175000005,47444.999999999985,0.6289961727183713
KHM,Cambodia,2015,10346251.484839996,75189.70331000001,49635.99999999998,0.6601435810346992
KHM,Cambodia,2016,10519097.693309993,74950.33021000001,52016.99999999998,0.6940196241198117
KHM,Cambodia,2017,10682662.562539997,74855.48941999997,54185.99999999999,0.723874767
KHM,Cambodia,2018,10848105.112900002,74782.55664000004,56780.999999999985,0.759281342
KHM,Cambodia,2019,11023970.116549999,74695.47054999998,59324.999999999985,0.7942248648167863
KHM,Cambodia,2020,11248192.642149998,74748.94345999997,60645.00000000002,0.8113158152188824
KHM,Cambodia,2021,11448144.090309998,74767.10353999997,61296.00000000003,0.8198257936688296
KHM,Cambodia,2022,11656914.151149994,74886.91944000001,63769.00000000005,0.851537231
KHM,Cambodia,2023,11862506.011430003,74944.50075,66746.99999999997,0.8906190491902098
KHM,Cambodia,2024,12058771.359289996,74691.0624,69165.99999999999,0.9260277974035082
KEN,Kenya,2000,17012896.334539995,1386503.5863899994,0,0
KEN,Kenya,2001,17580828.4,1358099.504,0,0
KEN,Kenya,2002,18164648.32,1323055.3990200008,0,0
KEN,Kenya,2003,18760421.07105998,1284260.6395400008,0,0
KEN,Kenya,2004,19365580.28883003,1247003.6164899995,24959.999999999953,0.020015980442988655
KEN,Kenya,2005,19977560.392470006,1216833.954009998,54093.00000000003,0.044453888
KEN,Kenya,2006,20595897.12099002,1197212.033069999,120388.99999999984,0.10055779316825568
KEN,Kenya,2007,21221198.04990998,1187875.3515900015,168234.0000000001,0.1416259709192674
KEN,Kenya,2008,21852276.65157997,1185096.4045999998,230058.99999999988,0.19412682302217485
KEN,Kenya,2009,22490202.234250024,1188719.7663999998,315558.9999999991,0.26546122048231735
KEN,Kenya,2010,23146934.186819997,1197262.9834100003,396526.0000000003,0.3311937356240895
KEN,Kenya,2011,23832926.001120005,1208562.795960001,490436.9999999998,0.4058018347407672
KEN,Kenya,2012,24548461.092960015,1220228.901229999,548559.0000000007,0.4495541774555983
KEN,Kenya,2013,25291743.54513002,1230727.0436799994,596227.9999999995,0.48445185556109743
KEN,Kenya,2014,26062194.277450003,1238870.1437299992,689156.0000000001,0.5562778338697261
KEN,Kenya,2015,26862268.312529985,1245349.705090002,826096.9999999997,0.6633454013949417
KEN,Kenya,2016,27690552.23083003,1250313.9610099993,940166,0.751943935
KEN,Kenya,2017,28545852.016200006,1253135.1748899987,1026426.9999999994,0.819087215
KEN,Kenya,2018,29426705.30359002,1254858.2277800012,1015039.0000000006,0.8088873926385529
KEN,Kenya,2019,30319894.460900035,1255188.7736700012,975526.0000000005,0.7771946502896893
KEN,Kenya,2020,31248405.29507997,1254821.331920002,982152.0000000005,0.782702665
KEN,Kenya,2021,32227599.073550027,1255702.6888499996,1057600.0000000012,0.8422375848924675
KEN,Kenya,2022,33250956.33425001,1259077.240480001,1069813.0000000007,0.849680199
KEN,Kenya,2023,34310783.15,1261377.281,1089468.9999999993,0.8637138281623739
KEN,Kenya,2024,35421077.77113999,1263537.5503699987,1107948.9999999998,0.8768627411789714
MWI,Malawi,2000,6151385.347459997,832023.5309799996,0,0
MWI,Malawi,2001,6298034.757900003,825031.2111,0,0
MWI,Malawi,2002,6445572.2476999955,811917.7468,0,0
MWI,Malawi,2003,6604265.568830005,794579.5733600002,0,0
MWI,Malawi,2004,6768612.988849998,776298.2031199996,9993.000000000002,0.012872631
MWI,Malawi,2005,6942497.249359999,760317.8573700001,27094.99999999998,0.035636411452604495
MWI,Malawi,2006,7129001.484969996,749155.2624199995,54581.000000000015,0.072856726
MWI,Malawi,2007,7329319.552690001,745687.3249799997,91286.00000000004,0.12241860219690398
MWI,Malawi,2008,7536151.030719997,757269.0467200001,143350.00000000006,0.1892986391308341
MWI,Malawi,2009,7757813.693189999,770848.6915,186717.99999999994,0.24222393066726042
MWI,Malawi,2010,7992432.571,788623.9212999999,235220,0.29826637722611016
MWI,Malawi,2011,8237355.665269999,809179.8220100001,303279.99999999977,0.3747992618583261
MWI,Malawi,2012,8497017.939539997,830080.9741499991,380024.0000000002,0.4578155768347104
MWI,Malawi,2013,8773953.359039994,851388.3218599999,443396.9999999997,0.5207929080250067
MWI,Malawi,2014,9066955.410850005,872043.5828899998,506722.00000000006,0.5810741687023209
MWI,Malawi,2015,9373166.504499998,890969.7267599999,559762.0000000002,0.6282615258271094
MWI,Malawi,2016,9702908.842,907898.0927400003,638030.9999999998,0.7027561849749542
MWI,Malawi,2017,10046367.016970003,920356.6138399998,705150,0.7661704054669698
MWI,Malawi,2018,10403221.417479998,928725.5060899996,769178.9999999997,0.8282091909355412
MWI,Malawi,2019,10780188.646950006,935063.6556199999,782140.0000000002,0.8364564222971509
MWI,Malawi,2020,11173625.672880003,939417.9941100004,815938,0.8685569204718239
MWI,Malawi,2021,11578108.969120001,940386.3478699998,833756.0000000001,0.8866100639258319
MWI,Malawi,2022,11999470.170619998,940358.4542600001,848231.0000000003,0.9020294294769775
MWI,Malawi,2023,12438083.16,939211.8964700003,861524.0000000006,0.9172839518302661
MWI,Malawi,2024,12888711.477040006,937836.6438499998,865058.9999999999,0.9223983789423778
RWA,Rwanda,2000,4496451.674,204004.66871000003,0,0
RWA,Rwanda,2001,4632641.463069999,205697.68698999993,0,0
RWA,Rwanda,2002,4774666.200020004,204901.78735000017,0,0
RWA,Rwanda,2003,4938768.089320002,201868.77896000014,0,0
RWA,Rwanda,2004,5099428.356,199853.4499,5280.999999999999,0.026424362
RWA,Rwanda,2005,5261026.670359994,199538.3556100001,17441.000000000015,0.087406754
RWA,Rwanda,2006,5419493.7658899985,201083.54929000002,30728.999999999996,0.15281707582992302
RWA,Rwanda,2007,5576795.638879996,203479.5032,41196.99999999996,0.20246265279901898
RWA,Rwanda,2008,5738989.959279997,206573.9782,57286.00000000003,0.2773146962046523
RWA,Rwanda,2009,5898598.327180001,209434.02505000003,70212.00000000004,0.33524638598354645
RWA,Rwanda,2010,6067246.233359999,212806.50106999997,81742.00000000001,0.38411420510650673
RWA,Rwanda,2011,6242524.407709998,216063.75667000012,92223,0.4268323453287662
RWA,Rwanda,2012,6425511.715320002,219590.66929999995,108056,0.4920791960079882
RWA,Rwanda,2013,6618496.203490004,223948.341,121705,0.5434512238452595
RWA,Rwanda,2014,6813508.626919998,227131.64139000006,136180.00000000003,0.5995641961930348
RWA,Rwanda,2015,7012483.910520001,229970.62418999997,151048.99999999997,0.6568186720891989
RWA,Rwanda,2016,7218344.311,231963.4106,169598.99999999994,0.7311454836055695
RWA,Rwanda,2017,7432359.516129999,233162.28692999994,177354.00000000003,0.7606461676765304
RWA,Rwanda,2018,7653815.729,234013.5508,184925.99999999994,0.7902362891375673
RWA,Rwanda,2019,7885041.158570002,234230.2723199999,191743.00000000003,0.8186089616035849
RWA,Rwanda,2020,8124877.770210003,233901.14276000008,198393.00000000006,0.8481916661842306
RWA,Rwanda,2021,8368718.237000001,233570.5735000001,204504,0.8755554988608183
RWA,Rwanda,2022,8621465.898,232754.21026999998,209948.0000000001,0.9020159066358276
RWA,Rwanda,2023,8873512.685969999,231503.24526000003,216294,0.9343022373491197
RWA,Rwanda,2024,9120154.635239998,230003.882,221485.0000000001,0.9629620076199897
ZAF,South Africa,2000,29697087.169320013,3419567.9824300013,5894,0.00172361
ZAF,South Africa,2001,30349390.85913002,3685490.2094899984,12332.99999999999,0.003346366
ZAF,South Africa,2002,31027088.06988002,3917319.688320001,22730.999999999993,0.005802692
ZAF,South Africa,2003,31662147.42129002,4109024.497120002,35685.99999999998,0.008684786
ZAF,South Africa,2004,32250549.65644002,4273276.866459999,73413.99999999997,0.017179790192442278
ZAF,South Africa,2005,32804236.695200022,4421969.349060001,153273.0000000001,0.034661706
ZAF,South Africa,2006,33340669.40816001,4563147.799859998,276765,0.06065221
ZAF,South Africa,2007,33977678.13446001,4733324.889750001,450683.99999999936,0.095215099
ZAF,South Africa,2008,34620148.65161002,4919832.898990003,668852.0000000002,0.13595014581436485
ZAF,South Africa,2009,35265049.950780034,5110627.266330006,945783,0.18506201894844437
ZAF,South Africa,2010,35913519.21296003,5305620.364020001,1299237.9999999993,0.24487956371902628
ZAF,South Africa,2011,36567296.06222004,5508513.6619500015,1771329.000000001,0.3215620598775014
ZAF,South Africa,2012,37301189.38844003,5726041.105660001,2250011.000000001,0.39294356405788633
ZAF,South Africa,2013,38002879.17176004,5946339.205219999,2633352.000000001,0.4428526374156911
ZAF,South Africa,2014,38683526.88040004,6161559.036409998,3022533,0.4905467889115713
ZAF,South Africa,2015,39366074.617020026,6370595.562,3445469.9999999986,0.5408395441640024
ZAF,South Africa,2016,40033397.87,6563404.713959999,3939890,0.6002814349723203
ZAF,South Africa,2017,40703624.9,6740227.570020004,4436204.999999999,0.6581684303556583
ZAF,South Africa,2018,41375246.33717002,6908308.616920004,4831295.000000001,0.6993455660285748
ZAF,South Africa,2019,42074605.48031004,7065723.079109998,5159475.000000003,0.7302118894602776
ZAF,South Africa,2020,42810762.98405002,7212522.950889997,5428510.000000001,0.7526506379200005
ZAF,South Africa,2021,43455471.08175003,7340778.512,5654424.999999999,0.7702759306117868
ZAF,South Africa,2022,44169938.68294999,7461118.616210001,5858169.999999997,0.7851597463244395
ZAF,South Africa,2023,45005578.62804001,7580292.268970001,6041150.000000001,0.7969547592154865
ZAF,South Africa,2024,45856373.501250006,7688135.344939997,6212714.999999999,0.8080912628689534
TZA,Tanzania,2000,19308043.495910004,1080024.3353000004,0,0
TZA,Tanzania,2001,19794270.018150024,1071453.486,0,0
TZA,Tanzania,2002,20305601.587500002,1061275.7492799999,0,0
TZA,Tanzania,2003,20833884.082190003,1048463.2387100002,0,0
TZA,Tanzania,2004,21380073.49635002,1033029.217,0,0
TZA,Tanzania,2005,21941114.76332001,1019096.9189099997,11333.999999999998,0.011121611487278912
TZA,Tanzania,2006,22524235.180420015,1012647.1035599996,50725.99999999999,0.050092475277587624
TZA,Tanzania,2007,23129671.378270015,1018229.8025899999,124707.99999999996,0.1224752994685374
TZA,Tanzania,2008,23702486.01756002,1031210.5147899995,142069.0000000001,0.13776915378809115
TZA,Tanzania,2009,24180669.302769996,1046083.0902199999,187266.99999999985,0.1790173283086108
TZA,Tanzania,2010,24887375.510350008,1076924.0373700005,224906.00000000003,0.20884109946069365
TZA,Tanzania,2011,25665785.603260018,1114738.719,240389.99999999988,0.2156469457817774
TZA,Tanzania,2012,26503336.55375002,1158110.4692299997,374204.00000000006,0.32311598067911385
TZA,Tanzania,2013,27427452.011260014,1211926.5428800008,429006.9999999998,0.35398762616463136
TZA,Tanzania,2014,28363382.16311001,1268716.2300999996,521333.9999999999,0.4109145824980174
TZA,Tanzania,2015,29538920.549630016,1336894.7808899998,576876,0.4315044147423189
TZA,Tanzania,2016,30707466.296100006,1408831.4946100006,636714,0.45194475168675735
TZA,Tanzania,2017,31881264.17326002,1473902.0242299994,776473.0000000001,0.526814529
TZA,Tanzania,2018,32944777.575920023,1529702.0229599997,839806.9999999995,0.5490003853005035
TZA,Tanzania,2019,34052118.54450003,1577051.032,972347.0000000001,0.6165602636582811
TZA,Tanzania,2020,35251703.91011003,1614633.082,1092064.0000000002,0.6763542826331014
TZA,Tanzania,2021,36468650.579610005,1647078.0738599997,1158103.0000000005,0.7031257463624268
TZA,Tanzania,2022,37681795.80377005,1670038.3443800004,1247829,0.7471858380971815
TZA,Tanzania,2023,38908951.77269003,1686272.1798500004,1345017.000000001,0.797627463
TZA,Tanzania,2024,40176433.050450005,1692529.2301599996,1482262.0000000007,0.8757674453042553
UGA,Uganda,2000,11085787.18564001,876287.5044800001,0,0
UGA,Uganda,2001,11422361.7,875300.9394,4367.999999999996,0.004990284
UGA,Uganda,2002,11778441.927520001,877882.7914000006,10051.999999999996,0.011450275707044677
UGA,Uganda,2003,12150774.246680003,882903.7134,15735.999999999993,0.017823008059244732
UGA,Uganda,2004,12564907.283500003,894774.8213900003,44961.000000000015,0.050248396
UGA,Uganda,2005,12987386.749599999,912668.2218,82603.99999999997,0.090508246
UGA,Uganda,2006,13413470.887769999,933149.6195399998,81731.00000000001,0.087586169
UGA,Uganda,2007,13846123.724380007,954925.1356099999,102700.00000000003,0.10754769789821896
UGA,Uganda,2008,14289561.743880006,981898.7046099997,143380.9999999999,0.14602422767931994
UGA,Uganda,2009,14742110.207610004,1012853.2829999997,168299.99999999994,0.1661642439480546
UGA,Uganda,2010,15207364.632930009,1045334.1088999995,215193,0.20586049777563142
UGA,Uganda,2011,15705329.963320008,1080156.0066099998,250892.00000000006,0.23227385531781514
UGA,Uganda,2012,16251453.890020007,1115216.715,342625.9999999999,0.3072281785903393
UGA,Uganda,2013,16861987.37962001,1151442.987,468902.9999999999,0.40723075772513384
UGA,Uganda,2014,17555090.285510004,1189217.3160500007,590434.0000000002,0.4964895751443762
UGA,Uganda,2015,18340062.03173001,1230294.5580499994,653377.0000000001,0.531073633
UGA,Uganda,2016,19198277.757440012,1272908.3981799996,755273,0.5933443451861006
UGA,Uganda,2017,20101500.474239998,1310649.3199899995,884903,0.6751638188060495
UGA,Uganda,2018,21027784.946220014,1343511.6743199993,968856,0.7211370161635355
UGA,Uganda,2019,21953225.32582002,1372727.724,1029510.9999999995,0.7499746542945841
UGA,Uganda,2020,22860780.217990022,1396652.1165100005,1071242.9999999995,0.7670077518493698
UGA,Uganda,2021,23764036.50729002,1418210.6014399994,1109069.000000001,0.7820199615444227
UGA,Uganda,2022,24672585.814530015,1434162.4078399998,1151738,0.8030736224181466
UGA,Uganda,2023,25602349.126280017,1446365.1978999993,1189215.0000000005,0.8222093574476492
UGA,Uganda,2024,26571049.092970006,1456568.8503200004,1241375.9999999998,0.8522604336398352
ZMB,Zambia,2000,5135500.7806100035,647909.3673800001,0,0
ZMB,Zambia,2001,5325571.322870002,658880.7603499998,0,0
ZMB,Zambia,2002,5501858.06,665251.3728900002,142.00000000000003,2.1345314836874424e-4
ZMB,Zambia,2003,5701649.969179998,674434.8051,15328,0.022727178200311417
ZMB,Zambia,2004,5899220.835540004,683992.7312500001,29998.000000000004,0.043857191209003804
ZMB,Zambia,2005,6130040.359629997,698970.9844699996,51763.99999999999,0.074057438
ZMB,Zambia,2006,6365916.477330003,716426.6743300003,78682.00000000001,0.10982561484548735
ZMB,Zambia,2007,6630505.031920003,741544.8337000002,151681.99999999985,0.204548657
ZMB,Zambia,2008,6897203.668240003,770897.1665100001,210442.0000000001,0.27298323193054597
ZMB,Zambia,2009,7181853.847099998,805855.2639199992,265705.99999999994,0.3297192584031786
ZMB,Zambia,2010,7459598.918290001,842858.6538199999,324895.99999999994,0.3854691394903616
ZMB,Zambia,2011,7739201.701390002,882149.8195399996,395503.00000000006,0.44833994321535614
ZMB,Zambia,2012,8026227.666490005,924972.9218200004,446182.9999999998,0.4823741208792131
ZMB,Zambia,2013,8331775.082049999,972741.2787000001,520626.99999999977,0.5352163122919805
ZMB,Zambia,2014,8650492.158119995,1022090.9983800001,609480,0.5963069833958202
ZMB,Zambia,2015,8980393.668,1072242.4594699997,706743.0000000003,0.6591261087994383
ZMB,Zambia,2016,9320891.531730004,1124113.6635599998,749082.9999999999,0.6663765634052516
ZMB,Zambia,2017,9676026.662,1177019.0160000003,803957,0.6830450392655336
ZMB,Zambia,2018,10040918.893489996,1223538.6328599998,920436.0000000005,0.7522737535867565
ZMB,Zambia,2019,10421765.637389999,1260173.4388099995,1024199.0000000002,0.8127444750519155
ZMB,Zambia,2020,10804885.921630003,1284374.7903799997,1132497.0000000007,0.8817496329595009
ZMB,Zambia,2021,11190590.269760003,1301080.402,1155052.0000000002,0.8877637370246705
ZMB,Zambia,2022,11575551.470360007,1312719.9271200001,1225963,0.9339105582785372
ZMB,Zambia,2023,11979485.7,1321597.222,1232665.0000000005,0.9327085280512665
ZMB,Zambia,2024,12398494.521140004,1330087.6470900003,1274994.0000000002,0.9585789348464852
ZWE,Zimbabwe,2000,6724468.119540003,1614953.7830200004,0,0
ZWE,Zimbabwe,2001,6797513.143609999,1553328.1,0,0
ZWE,Zimbabwe,2002,6865485.857,1486226.6407600003,0,0
ZWE,Zimbabwe,2003,6931310.995760002,1417745.541,0,0
ZWE,Zimbabwe,2004,7002127.940050003,1353691.7486299998,10999.999999999996,0.008125927
ZWE,Zimbabwe,2005,7082074.0269100005,1297378.465,25866.999999999985,0.019937898382645876
ZWE,Zimbabwe,2006,7170448.987299999,1251353.6550399999,53632,0.042859186756669235
ZWE,Zimbabwe,2007,7267698.017800002,1215140.7442899991,90089.00000000004,0.074138737
ZWE,Zimbabwe,2008,7376804.040300001,1190637.2914099991,134723.0000000001,0.1131520077289498
ZWE,Zimbabwe,2009,7503974.066769999,1179245.2063799992,199630.00000000006,0.169286251
ZWE,Zimbabwe,2010,7652855.134089999,1185126.642,330378.99999999994,0.2787710514196289
ZWE,Zimbabwe,2011,7837466.856,1194678.9316499995,444663.0000000003,0.3722029310300682
ZWE,Zimbabwe,2012,8035899.910919999,1209625.2907200002,518790.99999999977,0.4288857086405675
ZWE,Zimbabwe,2013,8242063.061610002,1224042.853,618880,0.505603214
ZWE,Zimbabwe,2014,8453163.949,1236099.0553300001,703602.9999999999,0.5692124728727017
ZWE,Zimbabwe,2015,8664376.119,1245911.8557499999,776530.0000000001,0.6232623892422577
ZWE,Zimbabwe,2016,8876777.942449998,1254543.2220999992,854597.9999999997,0.6812025165378319
ZWE,Zimbabwe,2017,9090835.985510005,1256779.1079300004,978162,0.77830861
ZWE,Zimbabwe,2018,9306878.004509993,1255166.7399599997,1031984.0000000003,0.8221887715355556
ZWE,Zimbabwe,2019,9524081.206319999,1252190.9488900003,1088482.0000000002,0.8692619931208421
ZWE,Zimbabwe,2020,9742674.004640002,1246973.7920699997,1117496,0.8961663886655836
ZWE,Zimbabwe,2021,9978743.898700003,1245736.7470799994,1136245.9999999986,0.9121076364355097
ZWE,Zimbabwe,2022,10233333.052079994,1240878.1185100004,1182125.9999999995,0.9526527886715029
ZWE,Zimbabwe,2023,10505329.16,1235667.2780499994,1189793,0.9628748945085012
ZWE,Zimbabwe,2024,10794991.9,1231826.522,1192465.9999999993,0.9680470251287575
LSO,Lesotho,2000,1062873.001,208032.78650999998,0,0
LSO,Lesotho,2001,1077009.0006499998,216311.2314699998,0,0
LSO,Lesotho,2002,1090103.995,222554.14273000005,381.9999999999998,0.001716436
LSO,Lesotho,2003,1100457.9992200006,227442.2752500001,1107.9999999999998,0.004871566
LSO,Lesotho,2004,1107628.99,230648.85644999996,1836.0000000000007,0.007960152
LSO,Lesotho,2005,1112489.0029300002,233470.6993,8203.000000000002,0.03513503
LSO,Lesotho,2006,1116709.0001700001,237322.44506999996,16071.000000000007,0.067717994
LSO,Lesotho,2007,1122236.003,243185.49452999997,37525.00000000003,0.15430607846296052
LSO,Lesotho,2008,1129735.9945599996,250581.21360000005,50668.99999999998,0.20220590072200037
LSO,Lesotho,2009,1138511.002,258090.19895000002,72077.00000000001,0.2792705817316354
LSO,Lesotho,2010,1147838.0058499998,264648.8459,89474.99999999997,0.3380895151548404
LSO,Lesotho,2011,1157151.008,270531.16274000006,93146.00000000001,0.3443078389069729
LSO,Lesotho,2012,1165980.9883299998,275361.012,103843.99999999999,0.37711947402093937
LSO,Lesotho,2013,1174219.0087999997,279388.0514199999,115670.99999999996,0.41401555797428663
LSO,Lesotho,2014,1182035.011,281934.4695299998,126761.99999999999,0.4496151187590477
LSO,Lesotho,2015,1190047.0185699996,283001.2148799999,145993,0.5158741105118752
LSO,Lesotho,2016,1199112.0071499997,282171.0646400002,171993.99999999994,0.6095380482028997
LSO,Lesotho,2017,1209373.0095399998,279940.7506900001,192879.99999999997,0.6890029391026061
LSO,Lesotho,2018,1220275.9843600001,277044.9615,197798.99999999985,0.7139599252118515
LSO,Lesotho,2019,1231432.994,273808.6538,212536.0000000001,0.7762209012805457
LSO,Lesotho,2020,1242930.0022299998,270325.0979599999,221072.99999999988,0.8178041982350899
LSO,Lesotho,2021,1254829.0077900002,266286.9853,226199.9999999999,0.8494594647712755
LSO,Lesotho,2022,1273802.5220500003,262866.2447,229714.99999999997,0.8738855011070329
LSO,Lesotho,2023,1293625.0239300004,259788.20380999995,236353,0.9097911165083552
LSO,Lesotho,2024,1313614.8959300006,256143.6369,241175,0.941561551
