Raw data column name ,Short column name,Type,Description
Covidence #,covidence.id,numeric,
Study ID,study.id,character,
Title,title.covidence,character,
Reviewer Name,reviewer.name,character,
1.1. Study DOI:,study.doi,character,
1.2. First Author's surname:,first.author.surname,character,
1.3. Paper Title:,title.extracted,character,
1.4. Publication Year:,publication.year,numeric,
"2.1. Corresponding author (surname, initials):",correspond.author,character,
2.2. Corresponding author's email address:,correspond.author.email,character,
3.1. Does the study report that it has adhered to guidelines from the WHO handbook for prevalence surveys?,who.handbook,logical,
3.2. Selection of study population,study.pop.selection,factor,
3.2.1. Does this study include multiple prevalence surveys?,multiple.surveys,factor,
3.3. Country(ies) of study:,study.country,character,
3.4. Study Setting,study.setting,character,
3.5. What was the geographic coverage of the study?,study.geography,factor,
3.6 What was the urban/rural coverage of the study?,study.rurality,factor,
3.7. Study Year(s) (time-period during which study was conducted):,study.years,character,
3.8. Were contact investigations used to identify additional participants?,contact.investigation,factor,
4.1. Screening criteria,screening.criteria,character,
4.2. Were individuals currently on TB treatment included in the study population?,include.current.tb.tx,factor,
4.3. Were participants screened prior to diagnosis?,participant.screening,factor,
4.4. Which of the following screening tests were done:,screening.tests,factor,
4.5. If symptom screen was performed: (Select those that apply),screening.symptoms,character,
"4.6. If chest X-ray was used, how was a positive result defined?",positive.xray.definition,factor,
5.1. From which participants was sputum collected?,participants.sputum.collected,factor,
5.2. Were sputum samples tested by smear microscopy?,smear.used,factor,
5.3. Which samples were tested by smear microscopy?,smear.samples,factor,
"5.3.1. If ""Subsets of samples"" was selected in 5.3, specify:",other.smear.samples,character,
5.4. Which microscopy method was used?,microscopy.methods,factor,
"5.5. Were samples tested by Xpert MTB/RIF, or Xpert Ultra?",xpert.used,factor,
5.6. Which samples were tested by Xpert?,xpert.samples,factor,
"5.6.1. If ""Subset of samples"" was selected in 5.6, specify:",other.xpert.samples,character,
"5.6.2. Were Xpert trace results classified as ""Microbiologically-confirmed TB""?",xpert.trace,factor,
5.7. Were sputum samples tested by culture?,culture.used,logical,
5.8. Which samples were tested by culture?,culture.samples,factor,
"5.8.1. If ""Subset of samples"" was selected in 5.8, specify:",other.culture.samples,character,
5.9. Which culture media was used?,culture.media,factor,
"If none of the above, which test was used?",other.test.used,character,
"6.1. Presumptive TB (may be called ""suspect TB"" or ""TB suspect"" or ""possible TB case"", or similar in some reports)",presumptive.tb.definition,character,
6.2. Radiologically-confirmed TB,radiologic.tb.definition,character,
"6.3. Bacteriologically-confirmed TB (may be called ""microbiologically-confirmed TB"", or similar in some reports)",bacteriological.tb.definition,character,
6.4. Culture-positive TB,culture.positive.tb.definition,character,
6.5. Sputum smear-positive TB,smear.positive.tb.definition,character,
6.6. Sputum smear-negative TB,smear.negative.tb.definition,character,
6.7. TB without bacteriological confirmation,bacteriological.unconfirm.tb.definition,character,
6.8. Prevalent TB (please specify if treatment was provided or not),prevalent.tb.defintion,character,
"6.9. If given, provide the definition of Rural vs. Urban participants",rurality.definition,character,
"6.10. If given, provide the definition for how HIV status was ascertained.",hiv.status.definition,character,
6.11. Any other case definition(s),other.definitions,character,
6.12. Additional comments,other.definition.comments,character,
"6.13. Were prevalence estimates adjusted in some way (synonyms: “standardized”, “weighted”, “controlled”)?  If so, describe how.",calculate.adj.prevalence,character,
6.14. Additional comments on study methodology,other.study.method.comments,character,
7.1. Participants,participant.definition,character,
7.2. What is the total target population of the survey area(s)?,total.target.pop,integer,
7.3. Does this study report results by sex? ,report.sex,logical,
7.3.1 Results (by sex):,results.sex,character,
7.3.1. Eligible participants Male,n.eligible.male,integer,
7.3.1. Eligible participants Female,n.eligible.female,integer,
7.3.1. Eligible participants Total,n.eligible.sex.total,integer,
7.3.2. Participants Male,n.participants.male,integer,
7.3.2. Participants Female,n.participants.female,integer,
7.3.2. Participants Total,n.participants.sex.total,integer,
7.3.3. People with presumptive TB Male,n.presumptive.tb.male,integer,
7.3.3. People with presumptive TB Female,n.presumptive.tb.female,integer,
7.3.3. People with presumptive TB Total,n.presumptive.tb.sex.total,integer,
7.3.4. People with TB symptoms Male,n.symptoms.male,integer,
7.3.4. People with TB symptoms Female,n.symptoms.female,integer,
7.3.4. People with TB symptoms Total,n.symptoms.sex.total,integer,
7.3.5. People with abnormal chest X-ray Male,n.abnormal.xray.male,integer,
7.3.5. People with abnormal chest X-ray Female,n.abnormal.xray.female,integer,
7.3.5. People with abnormal chest X-ray Total,n.abnormal.xray.sex.total,integer,
7.3.6. Persons with successful sputum samples Male,n.sputum.sample.male,integer,
7.3.6. Persons with successful sputum samples Female,n.sputum.sample.female,integer,
7.3.6. Persons with successful sputum samples Total,n.sputum.sample.sex.total,integer,
