"Study.title","Study.ID","Column.name","Error.message"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study",21429,"study.years","More than two years listed"
"Sub-national TB prevalence surveys in India, 2006-2012: Results of uniformly conducted data analysis (Age Stratification, Combined Sites)",26990,"study.years","Study year is after publication year"
"Sputum positive point prevalence survey (1994)",26916,"study.years","Study year is after publication year"
"Declining tuberculosis prevalence in Saharia, a particularly vulnerable tribal community in Central India: evidences for action (2015 survey)",26980,"total.target.pop","Total target population less than eligible population"
"Results from the national TB prevalence survey of Indonesia",26858,"n.presumptive.tb.sex.total","Presumptive TB less than abnormal xray count"
"NATIONAL TUBERCULOSIS PREVALENCE SURVEY 2016, PHILIPPINES",26868,"n.presumptive.tb.sex.total","Presumptive TB less than tb case count"
"Lesotho Tuberculosis Prevalence Survey",26862,"n.presumptive.tb.sex.total","Presumptive TB less than tb case count"
"Results from the national TB prevalence survey of Indonesia",26858,"n.presumptive.tb.sex.total","Presumptive TB less than tb case count"
"NATIONAL TUBERCULOSIS PREVALENCE SURVEY 2016, PHILIPPINES",26868,"n.presumptive.tb.rurality.total","Presumptive TB less than tb case count"
"Lesotho Tuberculosis Prevalence Survey",26862,"n.presumptive.tb.rurality.total","Presumptive TB less than tb case count"
"Lesotho Tuberculosis Prevalence Survey",26862,"n.presumptive.tb.hiv.total","Presumptive TB less than tb case count"
"Declining tuberculosis prevalence in Saharia, a particularly vulnerable tribal community in Central India: evidences for action (2015 survey)",26980,"total.target.pop","Total target population less than eligible population"
"A baseline survey of the prevalence of tuberculosis in a community in south India at the commencement of a DOTS programme",26893,"total.target.pop","Total target population less than eligible population"
"Prevalence of pulmonary tuberculosis among the adult population in Pakistan 2010-2011",26928,"n.presumptive.tb.age.grp.total","Presumptive TB less than abnormal xray count"
"National population-based tuberculosis prevalence survey in Ghana, 2013",21508,"n.presumptive.tb.age.grp.total","Presumptive TB less than abnormal xray count"
"KENYA TUBERCULOSIS PREVALENCE SURVEY",26860,"n.presumptive.tb.age.grp.total","Presumptive TB less than symptom positive count"
"National population-based tuberculosis prevalence survey in Ghana, 2013",21508,"n.presumptive.tb.age.grp.total","Presumptive TB less than symptom positive count"
NA,NA,"n.presumptive.tb.age.grp.total","Presumptive TB less than tb case count"
