iso3,spectrum_country,year,totpop,hivpop,artpop_dec31,art_coverage
MWI,Malawi,2000,6151385.347459997,832023.5309799996,0,0
MWI,Malawi,2001,6298034.757900003,825031.21114,0,0
MWI,Malawi,2002,6445572.2476999955,811917.74684,0,0
MWI,Malawi,2003,6604265.568830005,794579.5733600002,0,0
MWI,Malawi,2004,6768612.988849998,776298.2031199996,9993.000000000002,0.01287263059458002
MWI,Malawi,2005,6942497.249359999,760317.8573700001,27094.99999999998,0.035636411452604495
MWI,Malawi,2006,7129001.484969996,749155.2624199995,54581.000000000015,0.07285672641968338
MWI,Malawi,2007,7329319.552690001,745687.3249799997,91286.00000000004,0.12241860219690398
MWI,Malawi,2008,7536151.058759998,757269.08699,143350.00000000003,0.18929862906432496
MWI,Malawi,2009,7757813.685180001,770848.6895200002,186717.99999999994,0.24222393128315153
MWI,Malawi,2010,7992432.814290001,788623.88782,235219.99999999994,0.29826638988862064
MWI,Malawi,2011,8237354.027160001,809179.7258900001,303279.99999999994,0.3747993063795914
MWI,Malawi,2012,8497014.738639997,830080.74883,380023.99999999977,0.4578157011057588
MWI,Malawi,2013,8773949.180210004,851388.0854599999,443396.99999999994,0.5207930526305583
MWI,Malawi,2014,9066951.249390002,872043.3100099999,506722,0.5810743505321878
MWI,Malawi,2015,9373153.956969999,890968.9565100003,559762.0000000003,0.628262068964372
MWI,Malawi,2016,9702888.95316,907896.9902099993,638031.0000000005,0.7027570383865046
MWI,Malawi,2017,10046322.770520005,920353.8674700004,705150.0000000005,0.7661726917478133
MWI,Malawi,2018,10403154.619759997,928721.7225500003,769179,0.8282125649953117
MWI,Malawi,2019,10780101.321920002,935059.36496,782140.0000000001,0.8364602605027741
MWI,Malawi,2020,11173519.409640003,939413.3814600002,815938.0000000002,0.8685611852067732
MWI,Malawi,2021,11577984.925540015,940381.9251,833755.9999999998,0.8866142337979734
MWI,Malawi,2022,11999328.603420002,940354.5958999998,848230.9999999999,0.9020331305853514
MWI,Malawi,2023,12437920.246679995,939208.5662100001,861523.9999999997,0.9172872043496346
MWI,Malawi,2024,12888529.212510005,937834.4318499997,865058.9999999998,0.9224005545345131
ZAF,South Africa,2000,29697087.169320013,3419567.9824300013,5894,0.0017236095408203075
ZAF,South Africa,2001,30349390.85913002,3685490.2094899984,12332.99999999999,0.0033463662359604104
ZAF,South Africa,2002,31027088.06988002,3917319.688320001,22730.999999999993,0.005802692097807444
ZAF,South Africa,2003,31662147.42129002,4109024.497120002,35685.99999999998,0.0086847863829997
ZAF,South Africa,2004,32250549.65644002,4273276.866459999,73413.99999999997,0.017179790192442278
ZAF,South Africa,2005,32804236.695200022,4421969.349060001,153273.0000000001,0.03466170565668486
ZAF,South Africa,2006,33340669.40816001,4563147.799859998,276765,0.06065221030282899
ZAF,South Africa,2007,33977678.13446001,4733324.889750001,450683.99999999936,0.09521509942745617
ZAF,South Africa,2008,34620148.65161002,4919832.898990003,668852.0000000002,0.13595014581436485
ZAF,South Africa,2009,35265049.950780034,5110627.266330006,945783,0.18506201894844437
ZAF,South Africa,2010,35913519.21296003,5305620.364020001,1299237.9999999993,0.24487956371902628
ZAF,South Africa,2011,36567296.06222004,5508513.6619500015,1771329.000000001,0.3215620598775014
ZAF,South Africa,2012,37301189.38844003,5726041.105660001,2250011.000000001,0.39294356405788633
