"Study.title","Study.ID","Column.name"
"A tuberculosis nationwide prevalence survey in Gambia, 2012","20811","other.smear.samples"
"A tuberculosis nationwide prevalence survey in Gambia, 2012","20811","other.xpert.samples"
"A tuberculosis nationwide prevalence survey in Gambia, 2012","20811","other.culture.samples"
"A tuberculosis nationwide prevalence survey in Gambia, 2012","20811","other.test.used"
"A tuberculosis nationwide prevalence survey in Gambia, 2012","20811","additional.references"
"Active case finding of undetected tuberculosis among chronic coughers in a slum setting in Kampala, Uganda","26937","other.smear.samples"
"Active case finding of undetected tuberculosis among chronic coughers in a slum setting in Kampala, Uganda","26937","other.xpert.samples"
"Active case finding of undetected tuberculosis among chronic coughers in a slum setting in Kampala, Uganda","26937","other.culture.samples"
"Active case finding of undetected tuberculosis among chronic coughers in a slum setting in Kampala, Uganda","26937","other.test.used"
"Active case finding of undetected tuberculosis among chronic coughers in a slum setting in Kampala, Uganda","26937","additional.references"
"Active case finding of undetected tuberculosis among chronic coughers in a slum setting in Kampala, Uganda","26937","study.quality.representative"
"Active case finding of undetected tuberculosis among chronic coughers in a slum setting in Kampala, Uganda","26937","study.quality.case.definition"
"Active case finding of undetected tuberculosis among chronic coughers in a slum setting in Kampala, Uganda","26937","study.quality.summary"
"Burden of Pulmonary Tuberculosis among Tribal Population: A Cross-sectional Study in Tribal Areas of Maharashtra, India","25143","additional.references"
"Community-based active tuberculosis case finding in poor urban settlements of Phnom Penh, Cambodia: a feasible and effective strategy","26909","additional.references"
"Community-based prevalence of undiagnosed mycobacterial diseases in the Afar Region, north-east Ethiopia","26906","additional.references"
"Comparison of two active case-finding strategies for community-based diagnosis of symptomatic smear-positive tuberculosis and control of infectious tuberculosis in Harare, Zimbabwe (DETECTB): a cluster-randomised trial","26887","other.xpert.samples"
"Comparison of two active case-finding strategies for community-based diagnosis of symptomatic smear-positive tuberculosis and control of infectious tuberculosis in Harare, Zimbabwe (DETECTB): a cluster-randomised trial","26887","other.test.used"
"Effect of household and community interventions on the burden of tuberculosis in southern Africa: the ZAMSTAR community-randomised trial","26875","screening.symptoms"
"Effect of household and community interventions on the burden of tuberculosis in southern Africa: the ZAMSTAR community-randomised trial","26875","other.xpert.samples"
"Effect of household and community interventions on the burden of tuberculosis in southern Africa: the ZAMSTAR community-randomised trial","26875","other.culture.samples"
"Effect of household and community interventions on the burden of tuberculosis in southern Africa: the ZAMSTAR community-randomised trial","26875","other.test.used"
"Effect of household and community interventions on the burden of tuberculosis in southern Africa: the ZAMSTAR community-randomised trial (SOUTH AFRICA / COMMUNITY B)","26978","additional.references"
"Epidemiology of tuberculosis in an urban slum of Dhaka City, Bangladesh","26878","other.smear.samples"
"Epidemiology of tuberculosis in an urban slum of Dhaka City, Bangladesh","26878","other.xpert.samples"
