Only.national.surveys.normal..0.1.,,Only.national.surveys.normal..0.10.,,X80.surveys.normal..0.11.,,X80.surveys.normal..0.10.,
1.03,0.12-1.95,1.12,0.07-2.23,1.11,0.5-1.74,1.14,0.47-1.84
0.12,,0.07,,0.50,,0.47,
1.95,,2.23,,1.74,,1.84,
0.00,-0.33-0.31,-0.02,-0.43-0.37,-0.03,-0.12-0.07,-0.03,-0.12-0.08
-0.33,,-0.43,,-0.12,,-0.12,
0.31,,0.37,,0.07,,0.08,
0.42,-0.39-1.21,0.50,-0.5-1.58,0.51,0.02-1.01,0.55,0.04-1.09
-0.39,,-0.50,,0.02,,0.04,
1.21,,1.58,,1.01,,1.09,
0.04,-0.31-0.42,0.03,-0.39-0.5,0.01,-0.23-0.26,0.02,-0.24-0.27
-0.31,,-0.39,,-0.23,,-0.24,
0.42,,0.50,,0.26,,0.27,
-0.14,-0.5-0.24,-0.13,-0.56-0.29,-0.14,-0.45-0.17,-0.14,-0.46-0.18
-0.50,,-0.56,,-0.45,,-0.46,
0.24,,0.29,,0.17,,0.18,
-0.21,-0.51-0.1,-0.23,-0.58-0.1,-0.22,-0.5-0.05,-0.23,-0.52-0.06
-0.51,,-0.58,,-0.50,,-0.52,
0.10,,0.10,,0.05,,0.06,
0.12,-0.46-0.72,0.11,-0.62-0.83,0.09,-0.12-0.29,0.10,-0.12-0.34
-0.46,,-0.62,,-0.12,,-0.12,
0.72,,0.83,,0.29,,0.34,
0.16,-0.46-0.77,0.17,-0.59-0.9,0.13,-0.38-0.67,0.14,-0.44-0.71
-0.46,,-0.59,,-0.38,,-0.44,
0.77,,0.90,,0.67,,0.71,
