,covidence.id,study.country,study.setting
1,28002,India,Tamil Nadu
2,27925,Kenya,Nairobi county. 9/10 clusters that were included in the previous 2015-16 national TB prevalence survey.
3,26988,India,"in the peri-urban district of Tiruvallur, south India, in a TB Unit
(covering 500000 predominantly rural population) in Tiruvallur area"
4,26987,India,"in the peri-urban district of Tiruvallur, south India, in a TB Unit
(covering 500000 predominantly rural population) in Tiruvallur area"
5,26986,India,"in the peri-urban district of Tiruvallur, south India, in a TB Unit
(covering 500000 predominantly rural population) in Tiruvallur area"
6,26985,India,Kanpur Nagar (population of about 4.2 million) with 32.8% residing in rural and 67.2% in urban areas
7,26983,India,"Gujarat is one of the leading states in India which is the northern-most maritime state on the West Coast of India. There are total 26 districts and 7 municipal corporations in Gujarat having total 225 talukas. Of the total population, 57.4 per cent lives in rural areas and 42.6 per cent 
resides in urban centres. The Census said Gujarat is the 10th most populous state in the country of India. It has 5 per cent share of the country's population and 6 per cent of geographical area."
8,26982,India,"The survey in Wardha district, having a population
of 1.3 million in 2007 was carried out during 2007–
2009. About 70% of the district population resided
in rural areas and was engaged in agrarian occupa-
tions. This district located in central India has a
warm climate with maximum temperatures
between 46 and 48 CC during summer and 15–
30 CC in winter, with limited rainfall. RNTCP is
being implemented from 2002. Between 2002 and
2006, notification rate of new smear positive cases
(NSP) and all TB cases per 100000 population
increased from 25 to 58 and 45–143 respectively;
and thereafter gradually decreased to 38 and 106
by 2009 [6]. Treatment success rate in NSP cases
registered during 2002–2008 varied between 86%
and 89%. For cases registered in 2009, 7% were
HIV reactive; treatment success was 83% in NSP
and 62% in previously treated cases"
9,26980,India,"Saharia is the main tribal community in Shivpuri district,
northwest Madhya Pradesh in central India. They gene-
rally inhabit small clusters of houses - a hamlet called as
‘Saharana’ outside the main village."
10,26979,India,"We performed a cross-sectional study between July
2008 and June 2010 in two states, AP and Assam,
located in the NE region of India. in the state of Assam two districts (Sonitpur and Karbi Anglong) were randomly
selected"
11,26978,South Africa,Community B was geographically located in a different sub-district and had a 98% ‘coloured’ population in 2005 of whom 61% lived in brick houses and 77% were employed.
12,26972,Ethiopia,Abeshige district is located in Gurage zone. It has a population of 73817 living in 26 kebeles (the lowest administrative unit with an average population of five thousand). The study was conducted in seven villages of the district after 19 years of DOTS implementation. Lemo district is located in Hadiya zone. It has a population of 144244 living in 33 kebeles. The study was conducted in five communities with a population of 21224 people. A prior prevalence survey was conducted in the districts ten years before this current follow up study. A previous prevalence study was conducted in 2003 after eight years of DOTS implementation. Shebedino district is located in Sidama zone. It has a population of 261128 living in 32 kebeles. This district is among the 19 districts of Sidama zone where innovative community-based TB intervention funded by TB-REACH initiative was implemented for two years. The study was conducted in five villages with 17466 people.
13,26971,Ethiopia,"Lemo district is located in Hadiya zone. It has a
population of 144244 living in 33 kebeles. The study
was conducted in five communities with a population of
21224 people. A prior prevalence survey was conducted
in the districts ten years before this current follow up
study. A previous prevalence study was conducted in
2003 after eight years of DOTS implementation."
14,26970,South Africa,Two communities in the Western Cape. Pre-ZAMSTAR trial
15,26957,Bangladesh,"The study was conducted in rural Bangladesh at Matlab, where the International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDR,B) has been maintaining a field research project since 1963. Matlab is a low-lying riverine area which lies 45 km south-east of Dhaka, the capital of Bangladesh. The principal occupations in the Matlab area are farming and fishing."
16,26951,China,35 clusters within 17 prefectures in Shandong province
17,26950,China,Six remote villages in Yunnan Province
18,26948,Vietnam,The Central Highlands are at an altitude between 500 meter and 2442 meter above sea level. The population of the Central Highlands was around 4.7 million in 2003 [6]. It is one of the poorest geographic regions in Vietnam and is bordering Laos. HIV prevalence was low at the end of 2004 with 31/100000 population [7].
19,26947,Kenya,a rural population of approximately 134000 people in Nyanza Province in western Kenya (the Asembo area of Rarieda District and the Gem District)
20,26943,Vietnam,"The study was carried out during April–June 2000, in the Bavi District, Ha Tay province in north-west Vietnam, where a population-based sociodemographic survey (hereafter called FilaBavi) has been set up."
21,26942,Ethiopia,"The study was conducted at Dabat Health and Demographic Surveillance System (HDSS) hosted by the University of Gondar located at Dabat district in Northwest Ethiopia. Dabat district has an estimated population of 145458 living in 27 rural and 3 urban Kebeles (the smallest administrative unit in Ethiopia). The local communities are largely depend on subsistence agriculture economy. The district has two health centers, three health stations, and twenty-nine health posts providing health services for the community. Only the two health centers provide DOTS for TB cases."
22,26939,India,"The Faridabad district has a population of 2194586 
people, growing at a rate of 48.47 per cent as recorded 
over the last decade, with a sex ratio of 839 females per 
1000 males14. More than half (56%) of the people reside 
in the urban areas and almost a third are illiterate. The 
Revised National Tuberculosis Programme was adopted 
in Faridabad district in April 200015. Currently, there are 
four treatment units in the district at Ballabgarh, Palwal, 
Hodal and Faridabad city besides the 21 designated 
microscopy centers. In this cross-sectional study, 
residents of Faridabad district were assessed for the 
prevalence of tuberculosis."
23,26937,Uganda,"The slum is located in Kisenyi Parish II, an administrative unit that is composed of 10 small villages of about 1000 persons each. The slum is served by a public health clinic located about 5 km from its centre. The clinic offers free primary healthcare, including TB diagnostic and treatment services. Kisenyi Parish II was purposively selected because it is over-crowded and therefore potentially at high risk for communicable diseases such as TB."
24,26936,Uganda,"We conducted a door-to-door cross-sectional survey of chronic cough in the Rubaga community located in Kampala City, Uganda, from January 2008 to June 2009. The division is subdivided into 13 parishes and 128 villages, with approximately 75 485 households and 400 000 people. About 50% of the population are adults aged ⩾15 years.22 Individuals can access TB and HIV diagnostic services from two public health centres free of charge or two tertiary private hospitals for a fee. Free treatment is provided in both private and public facilities."
25,26933,Ecuador,"Chine is located 250 km from Quito, at an altitude of 3500 m. The 653 inhabitants are mainly Spanish- speaking, and are descended from the Panzaleos and Puruhaes ethnic aboriginal groups.9 Chine is 2 h walk from the nearest road. Except for electricity, there are no basic services (running water, toilets, etc.) The main economic activities in Chine are agriculture and the raising of sheep, pigs and smaller animals for private consumption."
26,26932,India,"We performed a cross-sectional study between July
2008 and June 2010 in two states, AP and Assam,
located in the NE region of India. In AP, which is
predominantly a hilly state, six districts (Changlang,
East Kameng, East Siang, Lohit, Tirap, and West
Kameng) were randomly
selected"
27,26931,India,"The study was carried out in the Karhal block, Sheopur District
from November 2007 to March 2008. Karhal is situated about
40 km from the District headquarters. The terrain is difficult, with
most of the villages located in remote jungle areas having poor
connectivity by road, which remain cut off from the surrounding
areas during the rainy season."
28,26929,India,"This cross sectional study was conducted in the urban and rural populations of Jabalpur district from January 2009 to January 2010. There are four taluqs (sub-divisions) and 1386 villages in the district. The total area of the district is 10160 Km2, with a population of over 2.1 million (2001 census). The proportion of rural and urban population in the district is 43% and 57% respectively."
29,26924,Kenya,"Demographic and Health Survey site at Karemo Division, Siaya District, Nyanza Province, in western Kenya."
30,26899,Vietnam,"Hanoi, Vietnam"
31,26896,Bangladesh,Bangladesh national tuberculosis control programme districts supported by the Belgian Damien Foundation
32,26894,India,"The study was carried out in the block R.S. Pura which is a field practice area of Government Medical College, Jammu. There are 176 villages and town in the block with an estimated population of 179636.[sic] R.S. Pura block is located in the southwest of Jammu city adjacent to India-Pakistan border with a total area of 273 sqkm and average density of 658 per sqkm."
33,26893,India,"adults aged 15 years residing in the five panchayat unions (blocks) of Ellapuram, Kadambathur, Poondi, Tiruvallur and Tiruvalangadu in the BCG trial area (Tiruvallur district)."
