Survey ID,Title,Reported measure of bacteriological TB,"HIV Positive TB Prevalence per 100,000","HIV Negative TB Prevalence per 100,000",Total survey participants (N),Which participants HIV tested?,Participants with known HIV status (N),Participants with HIV (N),Probability of bias,,Notes
Surveys excluded for lack of quantitative data,,,,,,,,,,,
Uganda (Kampala City) 2008-2009,Yield Of Undetected Tuberculosis And Human Immunodeficiency Virus Coinfection From Active Case Finding In Urban Uganda,n.bacteriological.tb,no denominator,,5102,Individuals with presumptive TB,195,57,High,NO ART coverage discussion,Cannot construct prevalence without true denominator (only reported # and % of TB cases with HIV). 
Tanzania  (National) 2011-2012,"Prevalence Of Pulmonary Tuberculosis In Adult Population Of Tanzania: a National Survey, 2012",n.bacteriological.tb,no denominator,,50447,Individuals with presumptive TB,6302,318,Moderate,NO ART coverage discussion,Cannot construct prevalence without true denominator (only reported # and % of TB cases with HIV). 
Cambodia (Phnom Penh) 2012-2013,"Community-Based Active Tuberculosis Case Finding In Poor Urban Settlements Of Phnom Penh, Cambodia: a Feasible And Effective Strategy",n.bacteriological.tb,no denominator,,12201,Presumptive then testing for those with TB,NA,NA,High,NO ART coverage discussion,Cannot construct prevalence without true denominator (only reported # and % of TB cases with HIV). 
Rwanda (National) 2012,Prevalence Of Tuberculosis In Rwanda: Results Of The First Nationwide Survey In 2012 Yielded Important Lessons For Tb Control,n.prevalent.tb,no denominator,,43128,Nearly all individuals with presumptive TB,4158 + 137 self-reported positives,218,Moderate,NO ART coverage discussion,Cannot construct prevalence without true denominator (only reported #  cases with HIV). 
Zimbabwe (Harare) NA,"Prevalent Infectious Tuberculosis In Harare, Zimbabwe: Burden, Risk Factors And Implications For Control",n.bacteriological.tb,no numerator,,10092,All participants,9070,1916,High,NA,Only 19/66 cases were tested for HIV  of which 1 was positive. 
,,,,,,,,,,,
Surveys excluded for self-reporting/insufficient HIV testing,,,,,,,,,,,
Kenya (Nairobi County) 2022,"Persistently High Tb Prevalence In Nairobi County Neighbourhoods, 2015-2022",n.bacteriological.tb,2920,947,6369,SELF-REPORT,4151,137,Low,NO ART coverage discussion,
Malawi (National) 2013-2014,Malawi Tuberculosis Prevalence Survey,n.bacteriological.tb,1196,289,31579,SELF-REPORT,19813,1840,Low,% being treated for HIV,
Kenya (Asembo Area)  2006-2007,High Prevalence Of Pulmonary Tuberculosis And Inadequate Case Finding In Rural Western Kenya,adj.prev100k.bacteriological.tb,2122,305,20710,Tested those with PTB,NA,NA,Low,NO ART coverage discussion,101 TB cases had known HIV status ; prevalence is estimated using external HIV prevalence data. We do have the denominators they used. 
Kenya (National) 2015-2016,Kenya Tuberculosis Prevalence Survey,n.bacteriological.tb,2827,501,63050,SELF-REPORT,32386,1627,Low,NO ART coverage discussion,
South Africa (National) 2017-2019,"Prevalence Of Bacteriologically Confirmed Pulmonary Tuberculosis In South Africa, 2017-“19: a Multistage, Cluster-Based, Cross-Sectional Survey",adj.prev100k.ci.bacteriological.tb,1734,900,35191,Eligible for sputum,26877 tested or self report,4588,Low,NO ART coverage discussion,
,,,,,,,2189 were tested,,,,
Surveys eligible for quantitative analysis,,,,,,,,,,,
South Africa (Western Cape Province) 2005,Undiagnosed Tuberculosis In a Community With High Hiv Prevalence: Implications For Tuberculosis Control,prev100k.ci.prevalent.tb,7648,978,758,All participants,762,174,Moderate,NO ART coverage discussion,
Zambia (National)  2013-2014,Zambia National Tuberculosis Prevalence Survey 2013-2014 Technical Report,adj.prev100k.ci.bacteriological.tb,1726,387,44757,All participants,30491,2062,Low,NO ART coverage discussion,HIV definition required two positive tests
South Africa (Western Cape Province) 2008,Antiretroviral Program Associated With Reduction In Untreated Prevalent Tuberculosis In a South African Township,n.prevalent.tb,3595,999,1250,All participants,1207,306,Moderate,Has HIV TB by ART status but looks like it tested everyone,
Zimbabwe (Harare) 2005-2006,"Comparison Of Two Active Case-Finding Strategies For Community-Based Diagnosis Of Symptomatic Smear-Positive Tuberculosis And Control Of Infectious Tuberculosis In Harare, Zimbabwe (Detectb): a Cluster-Randomised Trial",prev100k.ci.bacteriological.tb,1770,410,10092,All participants,9060,1916,Moderate,NO ART coverage discussion,
Zambia (Lusaka Province) 2005,"Prevalence Of Tuberculosis, Hiv And Respiratory Symptoms In Two Zambian Communities: Implications For Tuberculosis Control In The Era Of Hiv",adj.prev100k.ci.bacteriological.tb,1650,550,57809 or 34446 culture,All participants,23480,4014,Moderate,NO ART coverage discussion,
Uganda (National)  2014-2015,"The Uganda National Tuberculosis Prevalence Survey, 2014-2015, Survey Report",prev100k.bacteriological.tb,96,261,41154 or 5142,Eligible for sputum,4386,422,Low,NO ART coverage discussion, ** NEEDS REVIEW I think the extracted values for prevalence are based on total denominator not HIV stratified denominator. Table 25 on p80  for HIV -TB numbers vs prevalence on p83 
Lesotho (National) 2019,"Policy And Programmatic Directions For The Lesotho Tuberculosis Programme: Findings Of The National Tuberculosis Prevalence Survey, 2019",adj.prev100k.ci.bacteriological.tb,1272,504,21179,All participants,17915,"of these 133 self-reported only and 3,915 tested in the survey",Low,NO ART coverage discussion, ** NEEDS REVIEW as it includes a small portion of self-report; can we separate this out. 
Malawi (Blantyre) 2019-2020,"Prevalence Of Bacteriologically-Confirmed Pulmonary Tuberculosis In Urban Blantyre, Malawi 2019-“20: Substantial Decline Compared To 2013-“14 National Survey",adj.prev100k.ci.bacteriological.tb,292,148,15897,All participants,15318,1877,Moderate,ART provided confirmatory testing,
,,,,,,,,,,,
