,study.country,study.setting,study.years,title.extracted,n.participants.hiv.total,n.participants.hiv.positive,n.participants.hiv.negative,study.quality.summary
1,Kenya,Nairobi county. 9/10 clusters that were included in the previous 2015-16 national TB prevalence survey.,2022,"Persistently High Tb Prevalence In Nairobi County Neighbourhoods, 2015–2022",NA,137,4014,Low risk of bias - Further research is very unlikely to change our confidence in the estimate
2,Malawi,"The survey started from cross-sectional household census in 74 clusters in rural, urban and semi-urban areas",2013-2014,Malawi Tuberculosis Prevalence Survey,19813,1840,17973,Low risk of bias - Further research is very unlikely to change our confidence in the estimate
3,South Africa,"The study community comprised 13000 black African individuals living mainly in shacks in a high-density residential area sited within well-demarcated boundaries, where unemployment exceeds 50% (20). The estimated mid-2005 adult population (14 yr) was derived from a household survey performed in December 2004, adjusted for population
growth. There is a single public-sector primary care clinic, which incorporates voluntary HIV counseling and testing, and a TB clinic for the diagnosis and management of TB in accordance with the South African national TB control program protocols.",2005,Undiagnosed Tuberculosis In a Community With High Hiv Prevalence: Implications For Tuberculosis Control,762,174,588,Moderate risk of bias - Further research is likely to have an important impact on our confidence in the estimates
4,Kenya,a rural population of approximately 134000 people in Nyanza Province in western Kenya (the Asembo area of Rarieda District and the Gem District),2006-2007,High Prevalence Of Pulmonary Tuberculosis And Inadequate Case Finding In Rural Western Kenya,NA,NA,NA,Low risk of bias - Further research is very unlikely to change our confidence in the estimate
5,Uganda,"We conducted a door-to-door cross-sectional survey of chronic cough in the Rubaga community located in Kampala City, Uganda, from January 2008 to June 2009. The division is subdivided into 13 parishes and 128 villages, with approximately 75 485 households and 400 000 people. About 50% of the population are adults aged ⩾15 years.22 Individuals can access TB and HIV diagnostic services from two public health centres free of charge or two tertiary private hospitals for a fee. Free treatment is provided in both private and public facilities.",2008-2009,Yield Of Undetected Tuberculosis And Human Immunodeficiency Virus Coinfection From Active Case Finding In Urban Uganda,5102,NA,NA,High risk of bias - Further research is very likely to have an important impact on our confidence in the estimates
6,United Republic of Tanzania,National,2011-2012,"Prevalence Of Pulmonary Tuberculosis In Adult Population Of Tanzania: a National Survey, 2012",NA,NA,NA,Moderate risk of bias - Further research is likely to have an important impact on our confidence in the estimates
7,Zambia,National,2013-2014,Zambia National Tuberculosis Prevalence Survey 2013-2014 Technical Report,NA,2062,28429,Low risk of bias - Further research is very unlikely to change our confidence in the estimate
8,South Africa,"The residents of this community were of predominantly poor socioeconomic status, with high unemployment rates and overcrowded living conditions.",2008,Antiretroviral Program Associated With Reduction In Untreated Prevalent Tuberculosis In a South African Township,1207,306,901,Moderate risk of bias - Further research is likely to have an important impact on our confidence in the estimates
9,Cambodia,"We targeted communities with a presumed high prevalence of undiagnosed TB and/or restricted access to TB services. These included a heterogeneous group of slum dwellers, dump-site communities, migrants, factory workers, and displaced populations, the majority living in informal temporary or unstructured settlements. We selected the communities through purposeful sampling after consultation with health managers and municipal authorities. Community leaders, who were willing to participate, then identified the poorest or most hard-to-reach.",2012-2013,"Community-Based Active Tuberculosis Case Finding In Poor Urban Settlements Of Phnom Penh, Cambodia: a Feasible And Effective Strategy",315874,NA,NA,High risk of bias - Further research is very likely to have an important impact on our confidence in the estimates
10,Rwanda,National,2012,Prevalence Of Tuberculosis In Rwanda: Results Of The First Nationwide Survey In 2012 Yielded Important Lessons For Tb Control,NA,NA,NA,Moderate risk of bias - Further research is likely to have an important impact on our confidence in the estimates
11,Zimbabwe,"46 neighbourhood urban clusters in Harare, enumerated for a cluster randomised trial",2005-2006,"Comparison Of Two Active Case-Finding Strategies For Community-Based Diagnosis Of Symptomatic Smear-Positive Tuberculosis And Control Of Infectious Tuberculosis In Harare, Zimbabwe (Detectb): a Cluster-Randomised Trial",9062,1916,7144,Moderate risk of bias - Further research is likely to have an important impact on our confidence in the estimates
12,Zimbabwe,"Harare, Zimbabwe",NA,"Prevalent Infectious Tuberculosis In Harare, Zimbabwe: Burden, Risk Factors And Implications For Control",9060,1916,7144,High risk of bias - Further research is very likely to have an important impact on our confidence in the estimates
13,Zambia,"The study was conducted in 2 sites (each a political division called a ward) in 2 districts of Lusaka Province of Zambia. The sites were purposively selected to represent rural and urban communities. The rural community has a major road running through it, but otherwise consists of small villages with subsistence farming as the major occupation. The urban community is representative of many such urban settlements in the major towns of Zambia, but not as crowded as the high-density areas in the capital, Lusaka",2005,"Prevalence Of Tuberculosis, Hiv And Respiratory Symptoms In Two Zambian Communities: Implications For Tuberculosis Control In The Era Of Hiv",NA,NA,NA,Moderate risk of bias - Further research is likely to have an important impact on our confidence in the estimates
14,Uganda,National,2014-2015,"The Uganda National Tuberculosis Prevalence Survey, 2014-2015, Survey Report",NA,NA,NA,Low risk of bias - Further research is very unlikely to change our confidence in the estimate
15,Lesotho,National,2019,"Policy And Programmatic Directions For The Lesotho Tuberculosis Programme: Findings Of The National Tuberculosis Prevalence Survey, 2019",NA,NA,NA,Low risk of bias - Further research is very unlikely to change our confidence in the estimate
16,Kenya,National,2015-2016,Kenya Tuberculosis Prevalence Survey,32386,1627,30759,Low risk of bias - Further research is very unlikely to change our confidence in the estimate
