"","figure.id.yr","title.extracted","hiv.analysis.indicator","HivPos","HivNeg","n.participants.hiv.total","n.participants.hiv.positive","study.quality.summary"
"1","Kenya (Nairobi County) 2022","Persistently High Tb Prevalence In Nairobi County Neighbourhoods, 2015–2022","n.bacteriological.tb",2920,947,4151,137,"Low risk of bias - Further research is very unlikely to change our confidence in the estimate"
"2","Malawi (National) 2013-2014","Malawi Tuberculosis Prevalence Survey","n.bacteriological.tb",1196,289,19813,1840,"Low risk of bias - Further research is very unlikely to change our confidence in the estimate"
"3","South Africa (Western Cape Province, c) 2005","Undiagnosed Tuberculosis In a Community With High Hiv Prevalence: Implications For Tuberculosis Control","prev100k.ci.prevalent.tb",7648,978,762,174,"Moderate risk of bias - Further research is likely to have an important impact on our confidence in the estimates"
"4","Kenya (Asembo Area)  2006-2007","High Prevalence Of Pulmonary Tuberculosis And Inadequate Case Finding In Rural Western Kenya","adj.prev100k.bacteriological.tb",2122,305,NA,NA,"Low risk of bias - Further research is very unlikely to change our confidence in the estimate"
"5","Zambia (National)  2013-2014","Zambia National Tuberculosis Prevalence Survey 2013-2014 Technical Report","adj.prev100k.ci.bacteriological.tb",1726,387,30491,2062,"Low risk of bias - Further research is very unlikely to change our confidence in the estimate"
"6","South Africa (Western Cape Province) 2008","Antiretroviral Program Associated With Reduction In Untreated Prevalent Tuberculosis In a South African Township","n.prevalent.tb",3595,999,1207,306,"Moderate risk of bias - Further research is likely to have an important impact on our confidence in the estimates"
"7","Zimbabwe (Harare) 2005-2006","Comparison Of Two Active Case-Finding Strategies For Community-Based Diagnosis Of Symptomatic Smear-Positive Tuberculosis And Control Of Infectious Tuberculosis In Harare, Zimbabwe (Detectb): a Cluster-Randomised Trial","prev100k.ci.bacteriological.tb",1770,410,9062,1916,"Moderate risk of bias - Further research is likely to have an important impact on our confidence in the estimates"
"8","Zambia (Lusaka Province) 2005","Prevalence Of Tuberculosis, Hiv And Respiratory Symptoms In Two Zambian Communities: Implications For Tuberculosis Control In The Era Of Hiv","adj.prev100k.ci.bacteriological.tb",1650,550,NA,NA,"Moderate risk of bias - Further research is likely to have an important impact on our confidence in the estimates"
"9","Uganda (National)  2014-2015","The Uganda National Tuberculosis Prevalence Survey, 2014-2015, Survey Report","prev100k.bacteriological.tb",96,261,NA,NA,"Low risk of bias - Further research is very unlikely to change our confidence in the estimate"
"10","Lesotho (National) 2019","Policy And Programmatic Directions For The Lesotho Tuberculosis Programme: Findings Of The National Tuberculosis Prevalence Survey, 2019","adj.prev100k.ci.bacteriological.tb",1272,504,NA,NA,"Low risk of bias - Further research is very unlikely to change our confidence in the estimate"
"11","Kenya (National) 2015-2016","Kenya Tuberculosis Prevalence Survey","n.bacteriological.tb",2827,501,32386,1627,"Low risk of bias - Further research is very unlikely to change our confidence in the estimate"
"12","South Africa (National) 2017-2019","Prevalence Of Bacteriologically Confirmed Pulmonary Tuberculosis In South Africa, 2017–19: a Multistage, Cluster-Based, Cross-Sectional Survey","adj.prev100k.ci.bacteriological.tb",1734,900,26877,4588,"Low risk of bias - Further research is very unlikely to change our confidence in the estimate"
"13","Malawi (Blantyre) 2019-2020","Prevalence Of Bacteriologically-Confirmed Pulmonary Tuberculosis In Urban Blantyre, Malawi 2019–20: Substantial Decline Compared To 2013–14 National Survey","adj.prev100k.ci.bacteriological.tb",292,148,15318,1877,"Moderate risk of bias - Further research is likely to have an important impact on our confidence in the estimates"
