"","study.country","Posterior.mean","Posterior.median","X95..credible.interval"
"1","Bangladesh",2.57,2.53,"1.76 - 3.61"
"2","Cambodia",2.18,2.09,"1.46 - 3.34"
"3","China",2.67,2.64,"1.88 - 3.61"
"4","Eswatini",1.61,1.57,"1.01 - 2.45"
"5","Ethiopia",1.71,1.69,"1.15 - 2.38"
"6","Gambia",2.25,2.17,"1.48 - 3.46"
"7","Ghana",1.85,1.84,"1.27 - 2.52"
"8","India",2.65,2.64,"1.89 - 3.45"
"9","Indonesia",2.37,2.34,"1.63 - 3.3"
"10","Kenya",2.27,2.23,"1.65 - 3.06"
"11","Laos",2.36,2.33,"1.72 - 3.24"
"12","Lesotho",2.16,2.11,"1.47 - 3.13"
"13","Malawi",1.85,1.85,"1.29 - 2.48"
"14","Mongolia",3.38,3.31,"2.25 - 4.97"
"15","Myanmar",2.84,2.85,"1.73 - 3.97"
"16","Namibia",2.33,2.3,"1.59 - 3.29"
"17","Nepal",2.38,2.36,"1.7 - 3.2"
"18","Nigeria",1.92,1.88,"1.33 - 2.74"
"19","Pakistan",1.55,1.53,"1.09 - 2.13"
"20","Philippines",2.79,2.76,"2.06 - 3.74"
"21","Rwanda",2.58,2.51,"1.71 - 3.93"
"22","South Africa",1.64,1.61,"1.12 - 2.29"
"23","Sudan",1.88,1.85,"1.3 - 2.58"
"24","Tanzania",2.15,2.13,"1.57 - 2.86"
"25","Thailand",3.27,3.18,"2 - 5.03"
"26","Uganda",2.58,2.48,"1.73 - 3.94"
"27","Vietnam",3.6,3.53,"2.5 - 5.16"
"28","Zambia",1.81,1.79,"1.33 - 2.4"
"29","Zimbabwe",1.78,1.76,"1.19 - 2.51"
