Survey ID,Year(s) of study,WHO region,Reported measure of bacteriological TB,Reported female bacteriological TB prevalence,Reported male bacteriological TB prevalence,Total participants (N),Male participants (%) ,Probability of bias
Sudan (National) ,2013-2014,Eastern Mediterranean region,Adjusted bacteriological TB prevalence with confidence interval,142.4,232.8,83202,43.3246797,Low
India (Tiruvallur District),2001-2003,South-East Asia region,Count of persons with culture positive TB,68,276,85474,48.67796055,Low
India (Tiruvallur District),2006-2008,South-East Asia region,Count of persons with culture positive TB,56,276,92255,48.77350821,Low
India (Tiruvallur District),2004-2006,South-East Asia region,Count of persons with culture positive TB,49,204,89413,48.62492031,Low
India (Kanpur Nagar District),2008-2010,South-East Asia region,Adjusted bacteriological TB prevalence with confidence interval,349.4,591.4,49496,Not reported,Low
India (Gujarat State) ,2011-2012,South-East Asia region,Adjusted bacteriological TB prevalence with confidence interval,248.8,610.9,87530,49.41620016,Low
India (Wardha District),2007-2009,South-East Asia region,Adjusted bacteriological TB prevalence with confidence interval,106.5,247.9,50332,49.92450131,Low
China (National) ,2000,Western Pacific region,Adjusted bacteriological TB prevalence with confidence interval,115,304,Not reported,Not reported,Low
India (Saharia Tribal) ,2015-2015,South-East Asia region,Count of persons with bacteriologically positive TB,46,149,9775,48.08184143,Moderate
India (Assam State) ,2008-2010,South-East Asia region,Count of persons with smear positive TB,5,8,1410,39.92907801,High
"South Africa (Western Cape Province, a)",2005,Africa region,Count of persons with bacteriologically positive TB,41,38,3536,41.85520362,Moderate
Thailand (National) ,2012,South-East Asia region,Crude bacteriological TB prevalence with confidence interval,124.5,360.5,Not reported,Not reported,Moderate
Viet Nam (National),2006-2007,Western Pacific region,Adjusted bacteriological TB prevalence with confidence interval,118,536,94170,45.24052246,Low
Ethiopia (Shebedino District),2012-2013,Africa region,Crude smear positive TB prevalence with confidence interval,129,67,17466,50.99622123,Moderate
Ethiopia (Lemu District),2012-2013,Africa region,Crude smear positive TB prevalence with confidence interval,56,237,10799,50.69913881,Moderate
"South Africa (Western Cape Province, b)",2005,Africa region,Count of persons with culture positive TB,30,37,2726,35.91342627,Moderate
Malawi (National),2013-2014,Africa region,Adjusted bacteriological TB prevalence with confidence interval,374,546,31579,41.44843092,Low
Bangladesh (Matlab),2001,South-East Asia region,Count of persons with smear positive TB,10,42,59395,42.85377557,High
Bangladesh (National) ,2007-2009,South-East Asia region,Adjusted smear positive TB prevalence with confidence interval,40.3,121.7,52098,46.4566778,Moderate
China (Shandong Province),2010,Western Pacific region,Adjusted bacteriological TB prevalence with confidence interval,15.7,43.3,54279,46.80631552,Low
China (Yunnan Province),NA,Western Pacific region,Count of persons with bacteriologically positive TB,26,75,9305,49.57549704,Moderate
China (National) ,2010,Western Pacific region,Adjusted bacteriological TB prevalence with confidence interval,64,183,252940,Not reported,Low
Viet Nam (Central Highlands),2003,Western Pacific region,Crude smear positive TB prevalence with confidence interval,18,26,68946,50.48733792,Moderate
Kenya (Asembo Area) ,2006-2007,Africa region,Count of persons with bacteriologically positive TB,65,58,20566,36.92988428,Low
Phillipines (National),2007,Western Pacific region,Count of persons with bacteriologically positive TB,44,107,22867,48.55468579,Moderate
Viet Nam (Bavi District) ,2000,Western Pacific region,Crude smear positive TB prevalence with confidence interval,79,60,35832,46.70964501,High
Ethiopia (Dabat District) ,2010,Africa region,Count of persons with smear positive TB,32,9,23590,47.43535396,Moderate
Indonesia (National) ,2004,South-East Asia region,Adjusted smear positive TB prevalence with confidence interval,72,138,50154,48.42485146,Moderate
India (Faridabad District) ,2008-2009,South-East Asia region,Count of persons with bacteriologically positive TB,30,70,98599,51.3423057,Low
Uganda (Kisenyi),2005,Africa region,Count of persons with smear positive TB,17,16,930,67.20430108,High
Uganda (Rubaga),2008-2009,Africa region,Count of persons with bacteriologically positive TB,22,17,5102,75.81340651,High
