"","Survey ID","Year(s) of study","WHO region","Female participants (N)","Male participants (N)","Reported estimate used","Female TB prevalence (as reported)","Male TB prevalence (as reported)"
"1","Sudan (National) ","2013-2014","Eastern Mediterranean (WHO)",47155,36047,"Adjusted bacteriological positive TB prevalence","142.4 (96.2-210.9)","232.8 (166.4-325.5)"
"2","India (Tiruvallur District)","2001-2003","South-East Asia (WHO)",43867,41607,"Count of culture positive TB","68","276"
"3","India (Tiruvallur District)","2006-2008","South-East Asia (WHO)",47259,44996,"Count of culture positive TB","56","276"
"4","India (Tiruvallur District)","2004-2006","South-East Asia (WHO)",45936,43477,"Count of culture positive TB","49","204"
"5","India (Kanpur Nagar District)","2008-2010","South-East Asia (WHO)",NA,NA,"Adjusted bacteriological positive TB prevalence","349.4 (210.7-488.2)","591.4 (326.0-856.8)"
"6","India (Gujarat State) ","2011-2012","South-East Asia (WHO)",44276,43254,"Adjusted bacteriological positive TB prevalence","248.8 (186.7-311.0)","610.9 (512.0-709.9)"
"7","India (Wardha District)","2007-2009","South-East Asia (WHO)",25204,25128,"Adjusted bacteriological positive TB prevalence","106.5 (60.5-152.5)","247.9 (174.5-321.3)"
"8","China (National) ","2000","Western Pacific (WHO)",NA,NA,"Adjusted bacteriological positive TB prevalence","115 (96-139)","304 (275-337)"
"9","India (Saharia Tribal) ","2015-2015","South-East Asia (WHO)",5075,4700,"Count of bacteriological positive TB","46","149"
"10","India (Assam State) ","2008-2010","South-East Asia (WHO)",847,563,"Count of smear positive TB","5","8"
"11","South Africa (Western Cape Province, a)","2005","Africa (WHO)",2056,1480,"Count of bacteriological positive TB","41","38"
"12","Thailand (National) ","2012","South-East Asia (WHO)",NA,NA,"Crude bacteriological positive TB prevalence","124.5 (18.1-157.3)","360.5 (190.8-530.4)"
"13","Viet Nam (National)","2006-2007","Western Pacific (WHO)",51567,42603,"Adjusted bacteriological positive TB prevalence","118 (75-161)","536 (431-642)"
"14","Ethiopia (Shebedino District)","2012-2013","Africa (WHO)",6180,8907,"Crude smear positive TB prevalence","129 (66-255)","67 (31-147)"
