"","Survey ID","title","Year(s) of study","WHO region","Female participants (N)","Male participants (N)","Reported estimate used","Female TB prevalence (as reported)","Male TB prevalence (as reported)"
"1","Sudan (National) ","Sudan Tb Prevalence Survey Report 2013 – 2014","2013-2014","Eastern Mediterranean (WHO)",47155,36047,"Adjusted bacteriological positive TB prevalence","142.4 (96.2-210.9)","232.8 (166.4-325.5)"
"2","India (Tiruvallur District)","Trends In The Prevalence Of Pulmonary Tuberculosis Over a Period Of Seven And Half Years In a Rural Community In South India With Dots","2001-2003","South-East Asia (WHO)",43867,41607,"Count of culture positive TB","68","276"
"3","India (Tiruvallur District)","Trends In The Prevalence Of Pulmonary Tuberculosis Over a Period Of Seven And Half Years In a Rural Community In South India With Dots","2006-2008","South-East Asia (WHO)",47259,44996,"Count of culture positive TB","56","276"
"4","India (Tiruvallur District)","Trends In The Prevalence Of Pulmonary Tuberculosis Over a Period Of Seven And Half Years In a Rural Community In South India With Dots","2004-2006","South-East Asia (WHO)",45936,43477,"Count of culture positive TB","49","204"
"5","India (Kanpur Nagar District)","Prevalence Survey Of Bacillary Pulmonary Tuberculosis In Western Uttar Pradesh, India","2008-2010","South-East Asia (WHO)",NA,NA,"Adjusted bacteriological positive TB prevalence","349.4 (210.7-488.2)","591.4 (326.0-856.8)"
"6","India (Gujarat State) ","Population Based Survey For Assessing Prevalence Of Pulmonary Tuberculosis Cases In The State Of Gujarat, India (2011-2012)","2011-2012","South-East Asia (WHO)",44276,43254,"Adjusted bacteriological positive TB prevalence","248.8 (186.7-311.0)","610.9 (512.0-709.9)"
"7","India (Wardha District)","Prevalence Of Pulmonary Tuberculosis In Wardha District Of Maharashtra, Central India","2007-2009","South-East Asia (WHO)",25204,25128,"Adjusted bacteriological positive TB prevalence","106.5 (60.5-152.5)","247.9 (174.5-321.3)"
"8","China (National) ","Tuberculosis Prevalence In China, 1990–2010; a Longitudinal Analysis Of National Survey Data","2000","Western Pacific (WHO)",NA,NA,"Adjusted bacteriological positive TB prevalence","115 (96-139)","304 (275-337)"
"9","India (Saharia Tribal) ","Declining Tuberculosis Prevalence In Saharia,a Particularly Vulnerable Tribal Community Incentral India: Evidences For Action","2015-2015","South-East Asia (WHO)",5075,4700,"Count of bacteriological positive TB","46","149"
"10","India (Assam State) ","Active Detection Of Tuberculosis And Paragonimiasis In The Remote Areas In North-Eastern India Using Cough As a Simple Indicator","2008-2010","South-East Asia (WHO)",847,563,"Count of smear positive TB","5","8"
"11","South Africa (Western Cape Province, a)","High Prevalence Of Tuberculosis And Insufficient Case Detection In Two Communities In The Western Cape, South Africa","2005","Africa (WHO)",2056,1480,"Count of bacteriological positive TB","41","38"
"12","Thailand (National) ","National Tuberculosis Prevalence Surveys In Asia, 1990–2012: An Overview Of Results And Lessons Learned","2012","South-East Asia (WHO)",NA,NA,"Crude bacteriological positive TB prevalence","124.5 (18.1-157.3)","360.5 (190.8-530.4)"
"13","Viet Nam (National)","National Survey Of Tuberculosis Prevalence In Viet Nam","2006-2007","Western Pacific (WHO)",51567,42603,"Adjusted bacteriological positive TB prevalence","118 (75-161)","536 (431-642)"
"14","Ethiopia (Shebedino District)","Sub-National Prevalence Survey Of Tuberculosis In Rural Communities Of Ethiopia","2012-2013","Africa (WHO)",6180,8907,"Crude smear positive TB prevalence","129 (66-255)","67 (31-147)"
"15","Ethiopia (Lemu District)","Sub-National Prevalence Survey Of Tuberculosis In Rural Communities Of Ethiopia","2012-2013","Africa (WHO)",5324,5475,"Crude smear positive TB prevalence","56 (19-166)","237 (139-406)"
"16","South Africa (Western Cape Province, b)","High Prevalence Of Tuberculosis And Insufficient Case Detection In Two Communities In The Western Cape, South Africa","2005","Africa (WHO)",1747,979,"Count of culture positive TB","30","37"
"17","Malawi (National)","Malawi Tuberculosis Prevalence Survey","2013-2014","Africa (WHO)",18490,13089,"Adjusted bacteriological positive TB prevalence","374 (246-501)","546 (335-757)"
"18","Bangladesh (Matlab)","Prevalence Of Sputum Smear-Positive Tuberculosis In a Rural Area In Bangladesh","2001","South-East Asia (WHO)",33942,25453,"Count of smear positive TB","10","42"
"19","Bangladesh (National) ","Prevalence Of Smear-Positive Tuberculosis In Persons Aged >/= 15 Years In Bangladesh: Results From a National Survey, 2007-2009","2007-2009","South-East Asia (WHO)",27895,24203,"Adjusted smear positive TB prevalence","40.3 (13.4-121.4)","121.7 (69.9-212.8)"
"20","China (Shandong Province)","Changes In Pulmonary Tuberculosis Prevalence: Evidence From The 2010 Population Survey In a Populous Province Of China","2010","Western Pacific (WHO)",28873,25406,"Adjusted bacteriological positive TB prevalence","15.7 (3.9-27.5)","43.3 (15.9-70.7)"
"21","China (Yunnan Province)","Analysis Of Tuberculosis Screening Results In Six Remote Villages In Yunnan Province",NA,"Western Pacific (WHO)",4692,4613,"Count of bacteriological positive TB","26","75"
"22","China (National) ","Tuberculosis Prevalence In China, 1990–2010; a Longitudinal Analysis Of National Survey Data","2010","Western Pacific (WHO)",NA,NA,"Adjusted bacteriological positive TB prevalence","64 (52-79)","183 (157-215)"
"23","Viet Nam (Central Highlands)","Low Tuberculosis Notification In Mountainous Vietnam Is Not Due To Low Case Detection: a Cross-Sectional Survey","2003","Western Pacific (WHO)",34135,34809,"Crude smear positive TB prevalence","18 (6-38)","26 (12-49)"
"24","Kenya (Asembo Area) ","High Prevalence Of Pulmonary Tuberculosis And Inadequate Case Finding In Rural Western Kenya","2006-2007","Africa (WHO)",12971,7595,"Count of bacteriological positive TB","65","58"
"25","Phillipines (National)","Significant Decline In The Tuberculosis Burden In The Philippines Ten Years After Initiating Dots","2007","Western Pacific (WHO)",11764,11103,"Count of bacteriological positive TB","44","107"
"26","Viet Nam (Bavi District) ","Do Women With Tuberculosis Have a Lower Likelihood Of Getting Diagnosed? Prevalence And Case Detection Of Sputum Smear Positive Pulmonary Tb, a Population-Based Study From Vietnam","2000","Western Pacific (WHO)",19095,16737,"Crude smear positive TB prevalence","79 (39-118)","60 (23-97)"
"27","Ethiopia (Dabat District) ","Two-Thirds Of Smear-Positive Tuberculosis Cases In The Community Were Undiagnosed In Northwest Ethiopia: Population Based Cross-Sectional Study","2010","Africa (WHO)",12400,11190,"Count of smear positive TB","32","9"
"28","Indonesia (National) ","Three-Fold Reduction In The Prevalence Of Tuberculosis Over 25 Years In Indonesia","2004","South-East Asia (WHO)",25867,24287,"Adjusted smear positive TB prevalence","72 (29-115)","138 (93-182)"
"29","India (Faridabad District) ","Prevalence Of Tuberculosis In Faridabad District, Haryana State, India","2008-2009","South-East Asia (WHO)",47976,50623,"Count of bacteriological positive TB","30","70"
"30","Uganda (Kisenyi)","Active Case Finding Of Undetected Tuberculosis Among Chronic Coughers In a Slum Setting In Kampala, Uganda","2005","Africa (WHO)",305,625,"Count of smear positive TB","17","16"
"31","Uganda (Rubaga)","Yield Of Undetected Tuberculosis And Human Immunodeficiency Virus Coinfection From Active Case Finding In Urban Uganda","2008-2009","Africa (WHO)",1234,3868,"Count of bacteriological positive TB","22","17"
"32","Eritrea (National)","Determining The Burden Of Tuberculosis In Eritrea: a New Approach","2005","Africa (WHO)",11965,6187,"Count of smear positive TB","8","7"
"33","Ecuador (Chine)","Pulmonary Tuberculosis In An Indigenous Community In The Mountains Of Ecuador","2001","Americas (WHO)",320,333,"Crude smear positive TB prevalence (no CI)","13500","9000"
"34","India (Andhra Pradesh State) ","Active Detection Of Tuberculosis And Paragonimiasis In The Remote Areas In North-Eastern India Using Cough As a Simple Indicator","2008-2010","South-East Asia (WHO)",1587,1374,"Count of smear positive TB","5","6"
"35","India (Karachal)","Pulmonary Tuberculosis: a Public Health Problem Amongst The Saharia, a Primitive Tribe Of Madhya Pradesh, Central India","2007-2008","South-East Asia (WHO)",5795,5321,"Crude bacteriological positive TB prevalence","933 (608-1257)","2156 (1686-2625)"
"36","India (Jabalpur District)","Prevalence Of Pulmonary Tuberculosis - A Baseline Survey In Central India","2009-2010","South-East Asia (WHO)",46966,48105,"Crude bacteriological positive TB prevalence","109 (81.2-143.3)","355.8 (304.4-413.4)"
"37","Pakistan (National) ","Prevalence Of Pulmonary Tuberculosis Among The Adult Population Of Pakistan 2010-2011","2010-2011","Eastern Mediterranean (WHO)",61099,44814,"Adjusted bacteriological positive TB prevalence","320.4 (252.6-388.3)","484.4 (392.2-576.5)"
"38","Kenya (Karemo)","Prevalence Of Tuberculosis In Adolescents, Western Kenya: Implications For Control Programs",NA,"Africa (WHO)",2425,2579,"Count of bacteriological positive TB","8","8"
"39","The Gambia (National)","The Gambian Survey Of Tuberculosis Prevalence (Gamstep)","2012-2013","Africa (WHO)",25596,17504,"Adjusted bacteriological positive TB prevalence","109 (54-164)","333 (233-433)"
"40","Tanzania (National)","Prevalence Of Pulmonary Tuberculosis In Adult Population Of Tanzania: a National Survey, 2012","2011-2012","Africa (WHO)",29701,20735,"Adjusted bacteriological positive TB prevalence","204 (137-272)","410 (315-505)"
"41","Zambia (National) ","Zambia National Tuberculosis Prevalence Survey 2013-2014 Technical Report","2013-2014","Africa (WHO)",26642,19457,"Adjusted bacteriological positive TB prevalence","487 (353-621)","833 (641-1024)"
"42","Nigeria (National)","Report First National Tb Prevalence Survey 2012, Nigeria","2012","Africa (WHO)",26008,18178,"Adjusted bacteriological positive TB prevalence","359 (213-505)","751 (538-965)"
"43","Myanmar (National) ","Sputum Positive Point Prevallence Survey","1994","South-East Asia (WHO)",13909,11269,"Count of smear positive TB","11","27"
"44","Myanmar (National) ","Report On National Tb Prevalence Survey 2009-2010, Myanmar","2009-2010","South-East Asia (WHO)",28973,22394,"Adjusted bacteriological positive TB prevalence","367.4 (287.7-469.1)","930.6 (742.6-1165.5)"
"45","Ethiopia (National)","The First Population-Based National Tuberculosis Prevalence Survey In Ethiopia, 2010-2011","2010-2011","Africa (WHO)",24878,21819,"Adjusted bacteriological positive TB prevalence","246 (176-315)","304 (219-388)"
"46","Cambodia (National) ","National Tb Prevalence Survey, 2022. Cambodia","2002","Western Pacific (WHO)",9758,7883,"Count of bacteriological positive TB","116","151"
"47","Cambodia (National) ","Cross-Sectional Studies Of Tuberculosis Prevalence In Cambodia Between 2002 And 2011","2010-2011","Western Pacific (WHO)",20410,17007,"Adjusted bacteriological positive TB prevalence","609 (486-763)","1097 (895-1344)"
"48","Lao Pdr (National)","The First National Tb Prevalence Survey Of Lao Pdr (2010-2011)","2010-2011","Western Pacific (WHO)",21474,17738,"Adjusted bacteriological positive TB prevalence","366 (254-477)","855 (646-1064)"
"49","Viet Nam (Hanoi City) ","A Survey Of Tuberculosis Prevalence In Hanoi, Vietnam","2003-2004","Western Pacific (WHO)",6477,4340,"Count of bacteriological positive TB","12","10"
"50","Bangladesh (Multiple Areas) ","Gender Differences In Tuberculosis: a Prevalence Survey Done In Bangladesh","2001","South-East Asia (WHO)",120423,103513,"Count of smear positive TB","16","48"
"51","India (R.S. Pura Block, Jammu City) ","Prevalence Of Tuberculosis In A Rural Population Aged 15 Years And Above In R.S. Pura Block Of District Jammu","Not reported","South-East Asia (WHO)",2309,2691,"Count of smear positive TB","2","8"
"52","India (Tiruvallur District)","A Baseline Survey Of The Prevalence Of Tuberculosis In a Community In South India At The Commencement Of a Dots Programme","1999-2001","South-East Asia (WHO)",42535,40855,"Count of culture positive TB","86","430"
"53","Rwanda (National) ","Prevalence Of Tuberculosis In Rwanda: Results Of The First Nationwide Survey In 2012 Yielded Important Lessons For Tb Control","2012","Africa (WHO)",24933,18195,"Adjusted bacteriological positive TB prevalence","53 (20-86)","208 (139-278)"
"54","India (Chennai)","Prevalence And Risk Factors For Adult Pulmonary Tuberculosis In a Metropolitan City Of South India","2010-2012","South-East Asia (WHO)",28674,26943,"Adjusted bacteriological positive TB prevalence","140 (97-182)","571 (487-656)"
"55","Ethiopia (Jimma Zone)","Prevalence Of Pulmonary Tb And Spoligotype Pattern Of Mycobacterium Tuberculosis Among Tb Suspects In a Rural Community In Southwest Ethiopia","2009","Africa (WHO)",13877,13720,"Count of culture positive TB","10","7"
"56","Ethiopia (District 16, Addis Ababa) ","A Rapid Survey To Determine The Prevalence Of Smear-Positive Tuberculosis In Addis Ababa","2001","Africa (WHO)",6894,5255,"Count of smear positive TB","11","12"
"57","Zimbabwe (Harare)","Comparison Of Two Active Case-Finding Strategies For Community-Based Diagnosis Of Symptomatic Smear-Positive Tuberculosis And Control Of Infectious Tuberculosis In Harare, Zimbabwe (Detectb): a Cluster-Randomised Trial","2005-2006","Africa (WHO)",6121,3970,"Crude bacteriological positive TB prevalence","570 (400-790)","780 (530-1110)"
"58","Zimbabwe (Harare)","Prevalent Infectious Tuberculosis In Harare, Zimbabwe: Burden, Risk Factors And Implications For Control",NA,"Africa (WHO)",6213,4022,"Crude smear positive TB prevalence","280 (160-440)","580 (370-870)"
"59","India (Nelamangala Sub-Division) ","Prevalence Of Pulmonary Tuberculosis Among Adults In a Rural Sub-District Of South India","2008-2010","South-East Asia (WHO)",33599,29763,"Crude bacteriological positive TB prevalence","50.9 (30.6-71.2)","315.9 (261.8-370.0)"
"60","India (Madhya Pradesh Tribal)","Prevalence Of Pulmonary Tuberculosisamongst The Tribal Population Of Madhyapradesh, Central India","2007-2008","South-East Asia (WHO)",11439,10831,"Adjusted bacteriological positive TB prevalence","NA (NA)","554 (415-693)"
"61","Ethiopia (Tigray)","Population-Based Prevalence Survey Of Tuberculosis In The Tigray Region Of Ethiopia","2011","Africa (WHO)",6774,5401,"Adjusted bacteriological positive TB prevalence","162 (153.60-171.17)","352 (339.05-364.52)"
"62","Brazil (Sete De Setembro Reserve) ","Survey For Tuberculosis In An Indigenous Populationof Amazonia: The Suru´ı Of RondˆOnia, Brazil","2003","Americas (WHO)",373,363,"Count of bacteriological positive TB","5","5"
"63","Bangladesh (Mirpur, Dhaka City)","Epidemiology Of Tuberculosis In An Urban Slum Of Dhaka City, Bangladesh","2009-2010","South-East Asia (WHO)",8267,6757,"Count of bacteriological positive TB","10","16"
"64","Zambia (Lusaka Province)","Prevalence Of Tuberculosis, Hiv And Respiratory Symptoms In Two Zambian Communities: Implications For Tuberculosis Control In The Era Of Hiv","2005","Africa (WHO)",NA,NA,"Adjusted bacteriological positive TB prevalence","800 (470-1130)","940 (560-1320)"
"65","Pakistan (Shimshal Valley) ","Prevalence Of Pulmonary Tuberculosis On The Roof Of The World","1996","Eastern Mediterranean (WHO)",133,98,"Count of smear positive TB","5","1"
"66","Pakistan (Karachi)","Hyperendemic Pulmonary Tuberculosis In Peri-Urban Areas Of Karachi, Pakistan","2002","Eastern Mediterranean (WHO)",2927,2552,"Count of bacteriological positive TB","7","11"
"67","India (Mohali District) ","Prevalence Of Pulmonary Tuberculosis Among Adults In a North Indian District","2008-2010","South-East Asia (WHO)",42253,43517,"Crude bacteriological positive TB prevalence","14.2 (3.6-24.8)","34.5 (18.2-50.8)"
"68","Uganda (National) ","The Uganda National Tuberculosis Prevalence Survey, 2014-2015, Survey Report","2014-2015","Africa (WHO)",23669,17485,"Adjusted bacteriological positive TB prevalence","178 (109-248)","734 (554-914)"
"69","Namibia (National)","Namibia Tuberculosis Disease Prevalence Survey 2019","2017-2018","Africa (WHO)",16900,12595,"Adjusted bacteriological positive TB prevalence","304.4 (196.2-412.7)","643.3 (428.6-858.1)"
